"Location Name Key","Event First CSV File Name","Event First Location Name Key","Event First Date","Event First Value","Confirmed First CSV File Name","Confirmed First Location Name Key","Confirmed First Date","Confirmed First Value","Deaths First CSV File Name","Deaths First Location Name Key","Deaths First Date","Deaths First Value","Recovered First CSV File Name","Recovered First Location Name Key","Recovered First Date","Recovered First Value","Active First CSV File Name","Active First Location Name Key","Active First Date","Active First Value"
"Abbeville, SC, USA","03-22-2020.csv","Abbeville, SC, USA","03-22-2020","1","03-22-2020.csv","Abbeville, SC, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","Abbeville, SC, USA","03-22-2020","1"
"Acadia, LA, USA","03-23-2020.csv","Acadia, LA, USA","03-23-2020","1","03-23-2020.csv","Acadia, LA, USA","03-23-2020","1","03-27-2020.csv","Acadia, LA, USA","03-27-2020","1",,,,,"03-23-2020.csv","Acadia, LA, USA","03-23-2020","1"
"Accomack, VA, USA","03-22-2020.csv","Accomack, VA, USA","03-22-2020","1","03-22-2020.csv","Accomack, VA, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","Accomack, VA, USA","03-22-2020","1"
"Ada, ID, USA","03-22-2020.csv","Ada, ID, USA","03-22-2020","11","03-22-2020.csv","Ada, ID, USA","03-22-2020","11","03-29-2020.csv","Ada, ID, USA","03-29-2020","1",,,,,"03-22-2020.csv","Ada, ID, USA","03-22-2020","11"
"Adair, IA, USA","03-22-2020.csv","Adair, IA, USA","03-22-2020","1","03-22-2020.csv","Adair, IA, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","Adair, IA, USA","03-22-2020","1"
"Adair, KY, USA",,,,,,,,,,,,,,,,,,,,
"Adair, MO, USA","03-22-2020.csv","Adair, MO, USA","03-22-2020","1","03-22-2020.csv","Adair, MO, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","Adair, MO, USA","03-22-2020","1"
"Adair, OK, USA","03-25-2020.csv","Adair, OK, USA","03-25-2020","2","03-25-2020.csv","Adair, OK, USA","03-25-2020","2",,,,,,,,,"03-25-2020.csv","Adair, OK, USA","03-25-2020","2"
"Adams, CO, USA","03-22-2020.csv","Adams, CO, USA","03-22-2020","18","03-22-2020.csv","Adams, CO, USA","03-22-2020","18","03-31-2020.csv","Adams, CO, USA","03-31-2020","2",,,,,"03-22-2020.csv","Adams, CO, USA","03-22-2020","18"
"Adams, IA, USA",,,,,,,,,,,,,,,,,,,,
"Adams, ID, USA","04-02-2020.csv","Adams, ID, USA","04-02-2020","1","04-02-2020.csv","Adams, ID, USA","04-02-2020","1",,,,,,,,,"04-02-2020.csv","Adams, ID, USA","04-02-2020","1"
"Adams, IL, USA","03-22-2020.csv","Adams, IL, USA","03-22-2020","1","03-22-2020.csv","Adams, IL, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","Adams, IL, USA","03-22-2020","1"
"Adams, IN, USA","03-22-2020.csv","Adams, IN, USA","03-22-2020","1","03-22-2020.csv","Adams, IN, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","Adams, IN, USA","03-22-2020","1"
"Adams, MS, USA","03-22-2020.csv","Adams, MS, USA","03-22-2020","1","03-22-2020.csv","Adams, MS, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","Adams, MS, USA","03-22-2020","1"
"Adams, ND, USA",,,,,,,,,,,,,,,,,,,,
"Adams, NE, USA","03-22-2020.csv","Adams, NE, USA","03-22-2020","1","03-22-2020.csv","Adams, NE, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","Adams, NE, USA","03-22-2020","1"
"Adams, OH, USA",,,,,,,,,,,,,,,,,,,,
"Adams, PA, USA","03-22-2020.csv","Adams, PA, USA","03-22-2020","5","03-22-2020.csv","Adams, PA, USA","03-22-2020","5",,,,,,,,,"03-22-2020.csv","Adams, PA, USA","03-22-2020","5"
"Adams, WA, USA","03-23-2020.csv","Adams, WA, USA","03-23-2020","1","03-23-2020.csv","Adams, WA, USA","03-23-2020","1",,,,,,,,,"03-23-2020.csv","Adams, WA, USA","03-23-2020","1"
"Adams, WI, USA","04-02-2020.csv","Adams, WI, USA","04-02-2020","1","04-02-2020.csv","Adams, WI, USA","04-02-2020","1",,,,,,,,,"04-02-2020.csv","Adams, WI, USA","04-02-2020","1"
"Addison, VT, USA","03-22-2020.csv","Addison, VT, USA","03-22-2020","3","03-22-2020.csv","Addison, VT, USA","03-22-2020","3",,,,,,,,,"03-22-2020.csv","Addison, VT, USA","03-22-2020","3"
"Afghanistan","02-24-2020.csv","Afghanistan","02-24-2020","1","02-24-2020.csv","Afghanistan","02-24-2020","1","03-22-2020.csv","Afghanistan","03-22-2020","1","03-16-2020.csv","Afghanistan","03-16-2020","1","02-24-2020.csv","Afghanistan","02-24-2020","1"
"Aiken, SC, USA","03-22-2020.csv","Aiken, SC, USA","03-22-2020","1","03-22-2020.csv","Aiken, SC, USA","03-22-2020","1","03-31-2020.csv","Aiken, SC, USA","03-31-2020","1",,,,,"03-22-2020.csv","Aiken, SC, USA","03-22-2020","1"
"Aitkin, MN, USA",,,,,,,,,,,,,,,,,,,,
"AK, USA","03-13-2020.csv","AK, USA","03-13-2020","1","03-13-2020.csv","AK, USA","03-13-2020","1",,,,,,,,,"03-13-2020.csv","AK, USA","03-13-2020","1"
"AL, USA","03-13-2020.csv","AL, USA","03-13-2020","5","03-13-2020.csv","AL, USA","03-13-2020","5",,,,,,,,,"03-13-2020.csv","AL, USA","03-13-2020","5"
"Alachua, FL, USA","03-22-2020.csv","Alachua, FL, USA","03-22-2020","35","03-22-2020.csv","Alachua, FL, USA","03-22-2020","35",,,,,,,,,"03-22-2020.csv","Alachua, FL, USA","03-22-2020","35"
"Alamance, NC, USA","03-22-2020.csv","Alamance, NC, USA","03-22-2020","2","03-22-2020.csv","Alamance, NC, USA","03-22-2020","2",,,,,,,,,"03-22-2020.csv","Alamance, NC, USA","03-22-2020","2"
"Alameda, CA, USA","03-07-2020.csv","Alameda, CA, USA","03-07-2020","2","03-07-2020.csv","Alameda, CA, USA","03-07-2020","2","03-23-2020.csv","Alameda, CA, USA","03-23-2020","1",,,,,"03-07-2020.csv","Alameda, CA, USA","03-07-2020","2"
"Alamosa, CO, USA","03-28-2020.csv","Alamosa, CO, USA","03-28-2020","1","03-28-2020.csv","Alamosa, CO, USA","03-28-2020","1",,,,,,,,,"03-28-2020.csv","Alamosa, CO, USA","03-28-2020","1"
"Albania","03-09-2020.csv","Albania","03-09-2020","2","03-09-2020.csv","Albania","03-09-2020","2","03-11-2020.csv","Albania","03-11-2020","1","03-21-2020.csv","Albania","03-21-2020","2","03-09-2020.csv","Albania","03-09-2020","2"
"Albany, NY, USA","03-22-2020.csv","Albany, NY, USA","03-22-2020","123","03-22-2020.csv","Albany, NY, USA","03-22-2020","123","03-29-2020.csv","Albany, NY, USA","03-29-2020","1",,,,,"03-22-2020.csv","Albany, NY, USA","03-22-2020","123"
"Albany, WY, USA","03-25-2020.csv","Albany, WY, USA","03-25-2020","1","03-25-2020.csv","Albany, WY, USA","03-25-2020","1",,,,,,,,,"03-25-2020.csv","Albany, WY, USA","03-25-2020","1"
"Albemarle, VA, USA","03-22-2020.csv","Albemarle, VA, USA","03-22-2020","2","03-22-2020.csv","Albemarle, VA, USA","03-22-2020","2",,,,,,,,,"03-22-2020.csv","Albemarle, VA, USA","03-22-2020","2"
"Alberta, Canada","03-09-2020.csv","Alberta, Canada","03-09-2020","7","03-09-2020.csv","Alberta, Canada","03-09-2020","7","03-20-2020.csv","Alberta, Canada","03-20-2020","1",,,,,"03-09-2020.csv","Alberta, Canada","03-09-2020","7"
