"Combined_Key","KeyOk","Address","Alt_Name","Beds","City","Country","County","COUNTYFIPS","Helipad","Id","Latitude","Longitude","NAICS_CODE","NAICS_DESC","Name","Objectid","Owner","Population","Source","Sourcedate","ST_FIPS","State","State Name","State_Id","Status","Telephone","Trauma","Ttl_Staff","Type","Val_Date","Val_Method","Website","Zip","Zip4"
"Kenai Peninsula, Alaska, US",,"417 1St Avenue",,"46","Seward","USA","Kenai Peninsula","02122","Y","0000599664","60.1050581820001","-149.445835369","622110","General Medical And Surgical Hospitals","Alaska","4322","Non-Profit","46","http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 224-5205","LEVEL IV",,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY","www.providence.org/alaska/default.htm","99664",
"Anchorage, Alaska, US",,"5955 Zeamer Ave.",,"57","Anchorage","USA","Anchorage","02020","Y","0000999506","61.2353454350001","-149.744885008","622110","General Medical And Surgical Hospitals","Alaska","3750","Government - Federal","57","http://www.tricare.mil/mtf","2019-04-02T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 755-2274","LEVEL IV",,"MILITARY","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","www.elmendorf.af.mil/","99506",
"Petersburg, Alaska, US",,"310 Bennet Street",,"22","Wrangell","USA","Petersburg","02280","N","0001999929","56.4717823870001","-132.375803899","622110","General Medical And Surgical Hospitals","Alaska","4323","Government - Local","22","http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 874-7000","LEVEL IV",,"GENERAL ACUTE CARE","2013-10-28T00:00:00.000Z","IMAGERY","http://www.wrangellmedicalcenter.com/","99929",
"Kenai Peninsula, Alaska, US",,"4300 Bartlett Street",,"50","Homer","USA","Kenai Peninsula","02122","Y","0000399603","59.6524701160001","-151.550129834","622110","General Medical And Surgical Hospitals","Alaska","7243","Government - District/Authority","50","http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 235-8101","LEVEL IV",,"CRITICAL ACCESS","2014-02-10T00:00:00.000Z","IMAGERY","http://www.sphosp.com/","99603",
"Anchorage, Alaska, US",,"3200 Providence Drive",,"371","Anchorage","USA","Anchorage","02020","Y","0001099508","61.1887628800001","-149.819958703","622110","General Medical And Surgical Hospitals","Alaska","7242","Non-Profit","371","http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 562-2211","LEVEL II",,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","www.providence.org/alaska/default.htm","99508",
"Anchorage, Alaska, US",,"2801 Debarr Road",,"132","Anchorage","USA","Anchorage","02020","Y","0000899508","61.2107391420001","-149.82898817","622110","General Medical And Surgical Hospitals","Alaska","7241","Proprietary","132","http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 276-1131","NOT DESIGNATED",,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY","http://www.alaskaregional.com/","99508",
"Anchorage, Alaska, US",,"1650 Bragaw Street",,,"Anchorage","USA","Anchorage","02020","N","0004699508","61.2056304390001","-149.809758318","622210","Psychiatric And Substance Abuse Hospitals","Alaska","3044","Proprietary",,"http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 258-7575",,,"PSYCHIATRIC","2016-03-28T00:00:00.000Z","IMAGERY","www.northstarbehavioral.com","99508",
"Aleutians West, Alaska, US",,"Po Box 2105",,,"Adak","USA","Aleutians West","02016","N","0060699546","51.868005","-176.640263","622110","General Medical And Surgical Hospitals","Alaska","710",,,"http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 592-8383",,,"GENERAL ACUTE CARE","2017-06-08T00:00:00.000Z","IMAGERY/OTHER","www.eatribes.org","99546",
"Fairbanks North Star, Alaska, US",,"4076 Neely Rd",,,"Fort Wainwright","USA","Fairbanks North Star","02090","Y","0000000022","64.829700238","-147.662229159","622110","General Medical And Surgical Hospitals","Alaska","1727","Government - Federal",,"http://www.tricare.mil/mtf","2019-04-02T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 361-5172","NOT DESIGNATED",,"MILITARY","2015-07-24T00:00:00.000Z","IMAGERY/OTHER","www.alaska.amedd.army.mil/","99703",
"Sitka, Alaska, US",,"222 Tongass Drive",,"27","Sitka","USA","Sitka","02220","N","0001799835","57.051565564","-135.354876741","622110","General Medical And Surgical Hospitals","Alaska","643","Non-Profit","27","http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 966-2411","LEVEL IV",,"CRITICAL ACCESS","2014-02-10T00:00:00.000Z","IMAGERY","www.searhc.org","99835",
"Valdez-Cordova, Alaska, US",,"911 Meals Avenue",,"21","Valdez","USA","Valdez-Cordova","02261","Y","0002699686","61.1365337820001","-146.346551668","622110","General Medical And Surgical Hospitals","Alaska","641","Government - Local","21","http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 835-2249","LEVEL IV",,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","www.providence.org/alaska/default.htm","99686",
"Matanuska-Susitna, Alaska, US",,"2500 S. Woodworth Loop",,"74","Palmer","USA","Matanuska-Susitna","02170","Y","0002499645","61.5628935770001","-149.258311157","622110","General Medical And Surgical Hospitals","Alaska","640","Proprietary","74","http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 861-6000","LEVEL IV",,"GENERAL ACUTE CARE","2014-03-12T00:00:00.000Z","IMAGERY/OTHER","http://www.matsuregional.com/index_flash.php","99645",
"Nome, Alaska, US",,"306 West 5Th Ave",,"36","Nome","USA","Nome","02180","N","0002399762","64.5019180610001","-165.405314638","622110","General Medical And Surgical Hospitals","Alaska","639","Non-Profit","36","http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 443-3311","LEVEL IV",,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY","www.nortonsoundhealth.org/","99762",
"Fairbanks North Star, Alaska, US",,"1650 Cowles Street",,"217","Fairbanks","USA","Fairbanks North Star","02090","Y","0001299701","64.831744708","-147.739392817","622110","General Medical And Surgical Hospitals","Alaska","638","Non-Profit","217","http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 452-8181","LEVEL IV",,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY","http://www.bannerhealth.com/Locations/Alaska/Fairbanks+Memorial=+Hospital/_FMH_DC_Home.htm","99701",
"Ketchikan Gateway, Alaska, US",,"3100 Tongass Avenue",,"54","Ketchikan","USA","Ketchikan Gateway","02130","Y","0000499901","55.3537186890001","-131.685788419","622110","General Medical And Surgical Hospitals","Alaska","637","Non-Profit","54","http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 225-5171","LEVEL IV",,"CRITICAL ACCESS","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","www.peacehealth.org","99901",
"Anchorage, Alaska, US",,"4315 Diplomacy Drive",,"148","Anchorage","USA","Anchorage","02020","N","0000799508","61.182950347","-149.800292629","622110","General Medical And Surgical Hospitals","Alaska","636","Non-Profit","148","http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 563-2662","LEVEL II",,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","www.anmc.org","99508",
"Kenai Peninsula, Alaska, US",,"250 Hospital Place",,"108","Soldotna","USA","Kenai Peninsula","02122","Y","0000699669","60.493169052","-151.077826958","622110","General Medical And Surgical Hospitals","Alaska","635","Non-Profit","108","http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 796-8900","LEVEL II",,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY","www.cpgh.org","99669",
"Northwest Arctic, Alaska, US",,"436 5Th Ave.",,"17","Kotzebue","USA","Northwest Arctic","02188","N","0002299752","66.8960016240001","-162.586826252","622110","General Medical And Surgical Hospitals","Alaska","642","Non-Profit","17","http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 442-3321","LEVEL IV",,"CRITICAL ACCESS","2014-02-10T00:00:00.000Z","IMAGERY","www.maniilaq.org","99752",
"Anchorage, Alaska, US",,"4800 Cordova Street",,,"Anchorage","USA","Anchorage","02020","N","0004799503","61.176410993","-149.880115614","622310","Specialty (Except Psychiatric And Substance Abuse) Hospitals","Alaska","3753","Proprietary",,"http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 561-3333",,,"LONG TERM CARE","2016-03-29T00:00:00.000Z","IMAGERY","www.st-eliashospital.com","99503",
"Kodiak Island, Alaska, US",,"1915 Rezanof Drive",,"25","Kodiak","USA","Kodiak Island","02150","Y","0001699615","57.8008999830001","-152.375607731","622110","General Medical And Surgical Hospitals","Alaska","7244","Non-Profit","25","http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 486-3281","LEVEL IV",,"GENERAL ACUTE CARE","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","www.providence.org/alaska/default.htm","99615",
"Juneau, Alaska, US",,"3260 Hospital Drive",,,"Juneau","USA","Juneau","02110","Y","0001799801","58.329079511","-134.465152632","622110","General Medical And Surgical Hospitals","Alaska","1718","Government - Federal",,"http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 796-8900","LEVEL IV",,"CRITICAL ACCESS","2015-04-23T00:00:00.000Z","IMAGERY/OTHER","http://www.bartletthospital.org","99801",
"Anchorage, Alaska, US",,"2530 Debarr Road",,"200","Anchorage","USA","Anchorage","02020","N","0000299508","61.207907203","-149.83348441","622210","Psychiatric And Substance Abuse Hospitals","Alaska","6067","Proprietary","200","http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 258-7575",,,"PSYCHIATRIC","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","www.northstarbehavioral.com","99508",
"Anchorage, Alaska, US",,"3700 Piper Street",,"80","Anchorage","USA","Anchorage","02020","N","0000199508","61.1850968030001","-149.829801554","622210","Psychiatric And Substance Abuse Hospitals","Alaska","6311","Government - State","80","http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx","2018-08-09T00:00:00.000Z","02","AK","Alaska",,"OPEN","(907) 269-7100",,,"PSYCHIATRIC","2014-02-10T00:00:00.000Z","IMAGERY/OTHER","http://dhss.alaska.gov/dbh/Pages/api/default.aspx","99508",
