Location Name Key,Date Reported,Attribute,Cumulative Value,Change Since Prior Day,Latitude,Longitude,Country or Region,Province or State,CSV File Name,USA State County,FIPS USA State County code,Last Updated UTC,File Number,Row Number
"Abbeville, SC, USA",03-22-2020,Confirmed,1,,34.22333378,-82.46170658,USA,SC,03-22-2020.csv,Abbeville,45001,2020-03-22T23:45:00Z,60,820
"Abbeville, SC, USA",03-23-2020,Confirmed,1,,34.22333378,-82.46170658,USA,SC,03-23-2020.csv,Abbeville,45001,2020-03-23T23:19:34Z,61,0
"Abbeville, SC, USA",03-24-2020,Confirmed,1,,34.22333378,-82.46170658,USA,SC,03-24-2020.csv,Abbeville,45001,2020-03-24T23:37:31Z,62,0
"Abbeville, SC, USA",03-25-2020,Confirmed,3,,34.22333378,-82.46170658,USA,SC,03-25-2020.csv,Abbeville,45001,2020-03-25T23:33:19Z,63,0
"Abbeville, SC, USA",03-26-2020,Confirmed,3,,34.22333378,-82.46170658,USA,SC,03-26-2020.csv,Abbeville,45001,2020-03-26T23:48:35Z,64,0
"Abbeville, SC, USA",03-27-2020,Confirmed,4,,34.22333378,-82.46170658,USA,SC,03-27-2020.csv,Abbeville,45001,2020-03-27T22:14:55Z,65,0
"Abbeville, SC, USA",03-28-2020,Confirmed,3,,34.22333378,-82.46170658,USA,SC,03-28-2020.csv,Abbeville,45001,2020-03-28T23:05:37Z,66,0
"Abbeville, SC, USA",03-29-2020,Confirmed,3,,34.22333378,-82.46170658,USA,SC,03-29-2020.csv,Abbeville,45001,2020-03-29T23:08:25Z,67,0
"Abbeville, SC, USA",03-30-2020,Confirmed,3,,34.22333378,-82.46170658,USA,SC,03-30-2020.csv,Abbeville,45001,2020-03-30T22:52:45Z,68,0
"Acadia, LA, USA",03-23-2020,Confirmed,1,,30.295064899999996,-92.41419698,USA,LA,03-23-2020.csv,Acadia,22001,2020-03-23T23:19:34Z,61,1
"Acadia, LA, USA",03-24-2020,Confirmed,2,,30.295064899999996,-92.41419698,USA,LA,03-24-2020.csv,Acadia,22001,2020-03-24T23:37:31Z,62,1
"Acadia, LA, USA",03-25-2020,Confirmed,2,,30.295064899999996,-92.41419698,USA,LA,03-25-2020.csv,Acadia,22001,2020-03-25T23:33:19Z,63,1
"Acadia, LA, USA",03-26-2020,Confirmed,3,,30.295064899999996,-92.41419698,USA,LA,03-26-2020.csv,Acadia,22001,2020-03-26T23:48:35Z,64,1
