Location Name Key,Date Reported,Attribute,Cumulative Value,Change Since Prior Day,Latitude,Longitude,Country or Region,Province or State,CSV File Name,USA State County,FIPS USA State County code,Last Updated UTC,File Number,Row Number
"Acadia, LA, USA",03-27-2020,Deaths,1,,30.295064899999996,-92.41419698,USA,LA,03-27-2020.csv,Acadia,22001,2020-03-27T22:14:55Z,65,1
"Acadia, LA, USA",03-28-2020,Deaths,1,,30.295064899999996,-92.41419698,USA,LA,03-28-2020.csv,Acadia,22001,2020-03-28T23:05:37Z,66,1
"Acadia, LA, USA",03-29-2020,Deaths,1,,30.295064899999996,-92.41419698,USA,LA,03-29-2020.csv,Acadia,22001,2020-03-29T23:08:25Z,67,1
"Acadia, LA, USA",03-30-2020,Deaths,1,,30.295064899999996,-92.41419698,USA,LA,03-30-2020.csv,Acadia,22001,2020-03-30T22:52:45Z,68,1
"Ada, ID, USA",03-29-2020,Deaths,1,,43.4526575,-116.24155159999998,USA,ID,03-29-2020.csv,Ada,16001,2020-03-29T23:08:25Z,67,3
"Ada, ID, USA",03-30-2020,Deaths,2,,43.4526575,-116.24155159999998,USA,ID,03-30-2020.csv,Ada,16001,2020-03-30T22:52:45Z,68,3
Afghanistan,03-22-2020,Deaths,1,,33.93911,67.709953,Afghanistan,,03-22-2020.csv,,,2020-03-22T23:45:00Z,60,3329
Afghanistan,03-23-2020,Deaths,1,,33.93911,67.709953,Afghanistan,,03-23-2020.csv,,,2020-03-23T23:19:21Z,61,3253
Afghanistan,03-24-2020,Deaths,1,,33.93911,67.709953,Afghanistan,,03-24-2020.csv,,,2020-03-24T23:37:15Z,62,3252
Afghanistan,03-25-2020,Deaths,2,,33.93911,67.709953,Afghanistan,,03-25-2020.csv,,,2020-03-25T23:33:04Z,63,3251
Afghanistan,03-26-2020,Deaths,4,,33.93911,67.709953,Afghanistan,,03-26-2020.csv,,,2020-03-26T23:48:18Z,64,3250
Afghanistan,03-27-2020,Deaths,4,,33.93911,67.709953,Afghanistan,,03-27-2020.csv,,,2020-03-27T23:23:03Z,65,3257
Afghanistan,03-28-2020,Deaths,4,,33.93911,67.709953,Afghanistan,,03-28-2020.csv,,,2020-03-28T23:05:25Z,66,3257
