Location Name Key,Date Reported,Attribute,Cumulative Value,Change Since Prior Day,Latitude,Longitude,Country or Region,Province or State,CSV File Name,USA State County,FIPS USA State County code,Last Updated UTC,File Number,Row Number
Afghanistan,03-16-2020,Recovered,1,,33.9391,67.7100,Afghanistan,,03-16-2020.csv,,,2020-03-16T14:38:45Z,54,147
Afghanistan,03-17-2020,Recovered,1,,33.9391,67.7100,Afghanistan,,03-17-2020.csv,,,2020-03-17T11:53:10Z,55,162
Afghanistan,03-18-2020,Recovered,1,,33.9391,67.7100,Afghanistan,,03-18-2020.csv,,,2020-03-17T11:53:10Z,56,169
Afghanistan,03-19-2020,Recovered,1,,33.9391,67.7100,Afghanistan,,03-19-2020.csv,,,2020-03-17T11:53:10Z,57,178
Afghanistan,03-20-2020,Recovered,1,,33.9391,67.7100,Afghanistan,,03-20-2020.csv,,,2020-03-20T14:43:04Z,58,182
Afghanistan,03-21-2020,Recovered,1,,33.9391,67.7100,Afghanistan,,03-21-2020.csv,,,2020-03-20T14:43:04Z,59,189
Afghanistan,03-22-2020,Recovered,1,,33.93911,67.709953,Afghanistan,,03-22-2020.csv,,,2020-03-22T23:45:00Z,60,3329
Afghanistan,03-23-2020,Recovered,1,,33.93911,67.709953,Afghanistan,,03-23-2020.csv,,,2020-03-23T23:19:21Z,61,3253
Afghanistan,03-24-2020,Recovered,1,,33.93911,67.709953,Afghanistan,,03-24-2020.csv,,,2020-03-24T23:37:15Z,62,3252
Afghanistan,03-25-2020,Recovered,2,,33.93911,67.709953,Afghanistan,,03-25-2020.csv,,,2020-03-25T23:33:04Z,63,3251
Afghanistan,03-26-2020,Recovered,2,,33.93911,67.709953,Afghanistan,,03-26-2020.csv,,,2020-03-26T23:48:18Z,64,3250
Afghanistan,03-27-2020,Recovered,2,,33.93911,67.709953,Afghanistan,,03-27-2020.csv,,,2020-03-27T23:23:03Z,65,3257
Afghanistan,03-28-2020,Recovered,2,,33.93911,67.709953,Afghanistan,,03-28-2020.csv,,,2020-03-28T23:05:25Z,66,3257
Afghanistan,03-29-2020,Recovered,2,,33.93911,67.709953,Afghanistan,,03-29-2020.csv,,,2020-03-29T23:08:13Z,67,3261
Afghanistan,03-31-2020,Recovered,5,,33.93911,67.709953,Afghanistan,,03-31-2020.csv,,,2020-03-31T23:43:43Z,91,2258
Albania,03-21-2020,Recovered,2,,41.1533,20.1683,Albania,,03-21-2020.csv,,,2020-03-21T12:43:08Z,59,146
Albania,03-22-2020,Recovered,2,,41.1533,20.1683,Albania,,03-22-2020.csv,,,2020-03-22T23:45:00Z,60,3311
Albania,03-23-2020,Recovered,2,,41.1533,20.1683,Albania,,03-23-2020.csv,,,2020-03-23T23:19:21Z,61,3254
Albania,03-24-2020,Recovered,10,,41.1533,20.1683,Albania,,03-24-2020.csv,,,2020-03-24T23:37:15Z,62,3253
Albania,03-25-2020,Recovered,17,,41.1533,20.1683,Albania,,03-25-2020.csv,,,2020-03-25T23:33:04Z,63,3252
Albania,03-26-2020,Recovered,17,,41.1533,20.1683,Albania,,03-26-2020.csv,,,2020-03-26T23:48:18Z,64,3251
Albania,03-27-2020,Recovered,31,,41.1533,20.1683,Albania,,03-27-2020.csv,,,2020-03-27T23:23:03Z,65,3258
Albania,03-28-2020,Recovered,31,,41.1533,20.1683,Albania,,03-28-2020.csv,,,2020-03-28T23:05:25Z,66,3258
Albania,03-29-2020,Recovered,33,,41.1533,20.1683,Albania,,03-29-2020.csv,,,2020-03-29T23:08:13Z,67,3262
Albania,03-31-2020,Recovered,52,,41.1533,20.1683,Albania,,03-31-2020.csv,,,2020-03-31T23:43:43Z,91,2259
Algeria,03-12-2020,Recovered,8,,28.0339,1.6596,Algeria,,03-12-2020.csv,,,2020-03-12T09:13:24Z,50,89
Algeria,03-13-2020,Recovered,8,,28.0339,1.6596,Algeria,,03-13-2020.csv,,,2020-03-11T20:00:00Z,51,57
Algeria,03-14-2020,Recovered,12,,28.0339,1.6596,Algeria,,03-14-2020.csv,,,2020-03-14T12:33:03Z,52,105
Algeria,03-15-2020,Recovered,12,,28.0339,1.6596,Algeria,,03-15-2020.csv,,,2020-03-15T18:20:18Z,53,99
Algeria,03-16-2020,Recovered,12,,28.0339,1.6596,Algeria,,03-16-2020.csv,,,2020-03-16T14:38:45Z,54,104
Algeria,03-17-2020,Recovered,12,,28.0339,1.6596,Algeria,,03-17-2020.csv,,,2020-03-17T03:13:15Z,55,117
Algeria,03-18-2020,Recovered,12,,28.0339,1.6596,Algeria,,03-18-2020.csv,,,2020-03-18T19:53:03Z,56,118
Algeria,03-19-2020,Recovered,32,,28.0339,1.6596,Algeria,,03-19-2020.csv,,,2020-03-19T16:13:36Z,57,118
Algeria,03-20-2020,Recovered,32,,28.0339,1.6596,Algeria,,03-20-2020.csv,,,2020-03-20T15:43:24Z,58,123
Algeria,03-21-2020,Recovered,32,,28.0339,1.6596,Algeria,,03-21-2020.csv,,,2020-03-21T17:43:03Z,59,113
Algeria,03-22-2020,Recovered,65,,28.0339,1.6596,Algeria,,03-22-2020.csv,,,2020-03-22T23:45:00Z,60,3288
Algeria,03-23-2020,Recovered,65,,28.0339,1.6596,Algeria,,03-23-2020.csv,,,2020-03-23T23:19:21Z,61,3255
Algeria,03-24-2020,Recovered,24,,28.0339,1.6596,Algeria,,03-24-2020.csv,,,2020-03-24T23:37:15Z,62,3254
Algeria,03-25-2020,Recovered,65,,28.0339,1.6596,Algeria,,03-25-2020.csv,,,2020-03-25T23:33:04Z,63,3253
Algeria,03-26-2020,Recovered,29,,28.0339,1.6596,Algeria,,03-26-2020.csv,,,2020-03-26T23:48:18Z,64,3252
Algeria,03-27-2020,Recovered,29,,28.0339,1.6596,Algeria,,03-27-2020.csv,,,2020-03-27T23:23:03Z,65,3259
Algeria,03-28-2020,Recovered,31,,28.0339,1.6596,Algeria,,03-28-2020.csv,,,2020-03-28T23:05:25Z,66,3259
Algeria,03-29-2020,Recovered,31,,28.0339,1.6596,Algeria,,03-29-2020.csv,,,2020-03-29T23:08:13Z,67,3263
