Location Name Key,Date Reported,Attribute,Cumulative Value,Change Since Prior Day,Latitude,Longitude,Country or Region,Province or State,CSV File Name,USA State County,FIPS USA State County code,Last Updated UTC,File Number,Row Number
Afghanistan,02-27-2020,Confirmed,1,,,,Afghanistan,,02-27-2020.csv,,,2020-02-24T23:33:02Z,36,76
Algeria,02-28-2020,Active,1,,,,Algeria,,02-28-2020.csv,,,2020-02-25T23:43:03Z,37,80
"Anhui, China",01-28-2020,Deaths,0,,,,China,Anhui,01-28-2020.csv,,,2020-01-28T23:00:00Z,6,7
"Ashland, NE, USA",02-21-2020,Deaths,0,,,,USA,NE,02-21-2020.csv,Ashland,,2020-02-21T23:23:06Z,30,43
Australia,01-25-2020,Deaths,0,,,,Australia,,01-25-2020.csv,,,2020-01-25T17:00:00Z,3,41
Austria,02-26-2020,Deaths,0,,,,Austria,,02-26-2020.csv,,,2020-02-26T00:13:06Z,35,62
"AZ, USA",01-28-2020,Active,1,,,,USA,AZ,01-28-2020.csv,,,2020-01-28T23:00:00Z,6,36
Azerbaijan,02-28-2020,Confirmed,1,,,,Azerbaijan,,02-28-2020.csv,,,2020-02-28T15:03:26Z,37,78
Bahrain,02-25-2020,Recovered,0,,,,Bahrain,,02-25-2020.csv,,,2020-02-25T18:55:32Z,34,39
"Bavaria, Germany",01-29-2020,Confirmed,4,,,,Germany,Bavaria,01-29-2020.csv,,,2020-01-29T19:30:00Z,7,51
"Beijing, China",02-17-2020,Deaths,4,,,,China,Beijing,02-17-2020.csv,,,2020-02-17T01:23:02Z,26,13
Belarus,02-29-2020,Active,1,,,,Belarus,,02-29-2020.csv,,,2020-02-28T16:23:03Z,38,85
Belgium,02-28-2020,Recovered,1,,,,Belgium,,02-28-2020.csv,,,2020-02-17T04:23:06Z,37,82
"Bexar, TX, USA",02-21-2020,Active,2,,,,USA,TX,02-21-2020.csv,Bexar,,2020-02-21T23:23:06Z,30,60
"Boston, MA, USA",02-15-2020,Recovered,0,,,,USA,MA,02-15-2020.csv,Boston,,2020-02-01T19:43:03Z,24,68
Brazil,02-29-2020,Deaths,0,,,,Brazil,,02-29-2020.csv,,,2020-02-29T21:03:05Z,38,77
"British Columbia, Canada",02-26-2020,Active,7,,,,Canada,British Columbia,02-26-2020.csv,,,2020-02-25T02:23:05Z,35,51
"CA, USA",01-29-2020,Recovered,0,,,,USA,CA,01-29-2020.csv,,,2020-01-29T19:30:00Z,7,35
Cambodia,02-09-2020,Deaths,0,,,,Cambodia,,02-09-2020.csv,,,2020-01-31T08:15:53Z,18,59
"Chongqing, China",01-23-2020,Confirmed,9,,,,China,Chongqing,01-23-2020.csv,,,2020-01-23T17:00:00Z,1,2
