"Case_Type","Country/Region","State/Province/County","US State Abbreviation","Original Province/State","Latitude","Longitude","Recorded Date at 0000 GMT","Cumulative Cases","Cases Reported for Day"
"Deaths","Afghanistan","",,"","33","65","01/22/20","0","0"
"Deaths","Afghanistan","",,"","33","65","01/23/20","0","0"
"Deaths","Afghanistan","",,"","33","65","01/24/20","0","0"
"Deaths","Afghanistan","",,"","33","65","01/25/20","0","0"
"Deaths","Afghanistan","",,"","33","65","01/26/20","0","0"
"Deaths","Afghanistan","",,"","33","65","01/27/20","0","0"
"Deaths","Afghanistan","",,"","33","65","01/28/20","0","0"
"Deaths","Afghanistan","",,"","33","65","01/29/20","0","0"
"Deaths","Afghanistan","",,"","33","65","01/30/20","0","0"
"Deaths","Afghanistan","",,"","33","65","01/31/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/01/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/02/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/03/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/04/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/05/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/06/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/07/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/08/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/09/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/10/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/11/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/12/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/13/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/14/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/15/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/16/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/17/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/18/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/19/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/20/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/21/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/22/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/23/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/24/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/25/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/26/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/27/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/28/20","0","0"
"Deaths","Afghanistan","",,"","33","65","02/29/20","0","0"
"Deaths","Afghanistan","",,"","33","65","03/01/20","0","0"
"Deaths","Afghanistan","",,"","33","65","03/02/20","0","0"
"Deaths","Afghanistan","",,"","33","65","03/03/20","0","0"
"Deaths","Afghanistan","",,"","33","65","03/04/20","0","0"
"Deaths","Afghanistan","",,"","33","65","03/05/20","0","0"
"Deaths","Afghanistan","",,"","33","65","03/06/20","0","0"
"Deaths","Afghanistan","",,"","33","65","03/07/20","0","0"
"Deaths","Afghanistan","",,"","33","65","03/08/20","0","0"
"Deaths","Afghanistan","",,"","33","65","03/09/20","0","0"
"Deaths","Afghanistan","",,"","33","65","03/10/20","0","0"
"Deaths","Afghanistan","",,"","33","65","03/11/20","0","0"
"Deaths","Afghanistan","",,"","33","65","03/12/20","0","0"
"Deaths","Afghanistan","",,"","33","65","03/13/20","0","0"
"Deaths","Afghanistan","",,"","33","65","03/14/20","0","0"
"Deaths","Afghanistan","",,"","33","65","03/15/20","0","0"
"Deaths","Afghanistan","",,"","33","65","03/16/20","0","0"
"Deaths","Afghanistan","",,"","33","65","03/17/20","0","0"
"Deaths","Afghanistan","",,"","33","65","03/18/20","0","0"
"Deaths","Afghanistan","",,"","33","65","03/19/20","0","0"
"Deaths","Afghanistan","",,"","33","65","03/20/20","0","0"
"Deaths","Afghanistan","",,"","33","65","03/21/20","0","0"
"Deaths","Afghanistan","",,"","33","65","03/22/20","1","1"
"Deaths","Afghanistan","",,"","33","65","03/23/20","1","0"
"Deaths","Afghanistan","",,"","33","65","03/24/20","1","0"
"Deaths","Albania","",,"","41.1533","20.1683","01/22/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","01/23/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","01/24/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","01/25/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","01/26/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","01/27/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","01/28/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","01/29/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","01/30/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","01/31/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/01/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/02/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/03/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/04/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/05/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/06/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/07/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/08/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/09/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/10/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/11/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/12/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/13/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/14/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/15/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/16/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/17/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/18/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/19/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/20/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/21/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/22/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/23/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/24/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/25/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/26/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/27/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/28/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","02/29/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","03/01/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","03/02/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","03/03/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","03/04/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","03/05/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","03/06/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","03/07/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","03/08/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","03/09/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","03/10/20","0","0"
"Deaths","Albania","",,"","41.1533","20.1683","03/11/20","1","1"
"Deaths","Albania","",,"","41.1533","20.1683","03/12/20","1","0"
"Deaths","Albania","",,"","41.1533","20.1683","03/13/20","1","0"
"Deaths","Albania","",,"","41.1533","20.1683","03/14/20","1","0"
"Deaths","Albania","",,"","41.1533","20.1683","03/15/20","1","0"
"Deaths","Albania","",,"","41.1533","20.1683","03/16/20","1","0"
"Deaths","Albania","",,"","41.1533","20.1683","03/17/20","1","0"
"Deaths","Albania","",,"","41.1533","20.1683","03/18/20","2","1"
"Deaths","Albania","",,"","41.1533","20.1683","03/19/20","2","0"
"Deaths","Albania","",,"","41.1533","20.1683","03/20/20","2","0"
"Deaths","Albania","",,"","41.1533","20.1683","03/21/20","2","0"
"Deaths","Albania","",,"","41.1533","20.1683","03/22/20","2","0"
"Deaths","Albania","",,"","41.1533","20.1683","03/23/20","4","2"
"Deaths","Albania","",,"","41.1533","20.1683","03/24/20","5","1"
"Deaths","Algeria","",,"","28.0339","1.6596","01/22/20","0","0"
"Deaths","Algeria","",,"","28.0339","1.6596","01/23/20","0","0"
"Deaths","Algeria","",,"","28.0339","1.6596","01/24/20","0","0"
"Deaths","Algeria","",,"","28.0339","1.6596","01/25/20","0","0"
"Deaths","Algeria","",,"","28.0339","1.6596","01/26/20","0","0"
"Deaths","Algeria","",,"","28.0339","1.6596","01/27/20","0","0"
"Deaths","Algeria","",,"","28.0339","1.6596","01/28/20","0","0"
"Deaths","Algeria","",,"","28.0339","1.6596","01/29/20","0","0"
"Deaths","Algeria","",,"","28.0339","1.6596","01/30/20","0","0"
"Deaths","Algeria","",,"","28.0339","1.6596","01/31/20","0","0"
"Deaths","Algeria","",,"","28.0339","1.6596","02/01/20","0","0"
"Deaths","Algeria","",,"","28.0339","1.6596","02/02/20","0","0"
"Deaths","Algeria","",,"","28.0339","1.6596","02/03/20","0","0"
"Deaths","Algeria","",,"","28.0339","1.6596","02/04/20","0","0"
