Location Name Key,Latitude,Longitude,Country or Region,Province or State,USA State County,FIPS USA State County code
"AK, USA",61.370716,-152.404419,USA,AK,,
"AL, USA",32.3182,-86.9023,USA,AL,,
"AR, USA",34.9697,-92.3731,USA,AR,,
"AS, USA",-14.270999999999999,-170.132,USA,AS,,60000
"AZ, USA",33.7298,-111.4312,USA,AZ,,
"CA, USA",36.1162,-119.6816,USA,CA,,
"CO, USA",39.0598,-105.3111,USA,CO,,
"CT, USA",41.597782,-72.755371,USA,CT,,
"DC, USA",38.8974,-77.0268,USA,DC,,
"DE, USA",39.3185,-75.5071,USA,DE,,
"Diamond Princess, USA",0.0,0.0,USA,Diamond Princess,,88888
"FL, USA",27.7663,-81.6868,USA,FL,,
"GA, USA",33.0406,-83.6431,USA,GA,,
"Grand Princess, USA",0.0,0.0,USA,Grand Princess,,99999
"GU, USA",13.4443,144.7937,USA,GU,,66000
"HI, USA",21.094318,-157.498337,USA,HI,,
"IA, USA",42.0115,-93.2105,USA,IA,,
"ID, USA",44.2405,-114.4788,USA,ID,,
"IL, USA",40.3495,-88.9861,USA,IL,,
"IN, USA",39.849426,-86.258278,USA,IN,,
"KS, USA",38.5266,-96.7265,USA,KS,,
"KY, USA",37.6681,-84.6701,USA,KY,,
"LA, USA",31.1695,-91.8678,USA,LA,,
"MA, USA",42.2302,-71.5301,USA,MA,,
"MD, USA",39.0639,-76.8021,USA,MD,,
"ME, USA",44.6939,-69.3819,USA,ME,,
"MI, USA",43.3266,-84.5361,USA,MI,,
"MN, USA",45.6945,-93.9002,USA,MN,,
"MO, USA",38.4561,-92.2884,USA,MO,,
"MP, USA",15.0979,145.6739,USA,MP,,69000
"MS, USA",32.7416,-89.6787,USA,MS,,
"MT, USA",46.9219,-110.4544,USA,MT,,
"NC, USA",35.6301,-79.8064,USA,NC,,
"ND, USA",47.5289,-99.7840,USA,ND,,
"NE, USA",41.1254,-98.2681,USA,NE,,
"NH, USA",43.4525,-71.5639,USA,NH,,
"NJ, USA",40.298904,-74.521011,USA,NJ,,
"NM, USA",34.8405,-106.2485,USA,NM,,
"NV, USA",38.3135,-117.0554,USA,NV,,
"NY, USA",42.1657,-74.9481,USA,NY,,
"OH, USA",40.3888,-82.7649,USA,OH,,
"OK, USA",35.5653,-96.9289,USA,OK,,
"OR, USA",44.5720,-122.0709,USA,OR,,
"PA, USA",40.5908,-77.2098,USA,PA,,
"PR, USA",18.2208,-66.5901,USA,PR,,
"Recovered, USA",0.0,0.0,USA,Recovered,,
"RI, USA",41.680893,-71.51178,USA,RI,,
"SC, USA",33.8569,-80.945,USA,SC,,
"SD, USA",44.2998,-99.4388,USA,SD,,
"TN, USA",35.7478,-86.6923,USA,TN,,
"TX, USA",31.0545,-97.5635,USA,TX,,
"US, USA",37.0902,-95.7129,USA,US,,
"UT, USA",40.1500,-111.8624,USA,UT,,
"VA, USA",37.769337,-78.169968,USA,VA,,
"VI, USA",18.3358,-64.8963,USA,VI,,
"VT, USA",44.0459,-72.7107,USA,VT,,
"WA, USA",47.4009,-121.4905,USA,WA,,
"WI, USA",44.2685,-89.6165,USA,WI,,
"WV, USA",38.4912,-80.9545,USA,WV,,
"WY, USA",42.7560,-107.3025,USA,WY,,
