"Location Name Key","Number of Rows","Latitude","Longitude","Population","Combined_Key","Country or Region","Province or State","State","Name","USA or Global","USA State County","FIPS USA State County code","County State Key"
"occupied Palestinian territory","1","31.9522","35.2332",,"occupied Palestinian territory","occupied Palestinian territory","","",,"Global",,,
"Elko, Nevada, US","17","41.14531606","-115.3577619",,"Elko, Nevada, US","US","Nevada","Nevada","NV","United States","Elko","32007","ELKO, NV"
"Taiwan, Taipei and environs","1","23.7000","121.0000",,"Taiwan, Taipei and environs","Taipei and environs","Taiwan","Taiwan",,"Global",,,
"St. Joseph, Michigan, US","13","41.91441767","-85.52797979",,"St. Joseph, Michigan, US","US","Michigan","Michigan","MI","United States","St. Joseph","26149","ST. JOSEPH, MI"
"Creek, Oklahoma, US","18","35.90230551","-96.37086028",,"Creek, Oklahoma, US","US","Oklahoma","Oklahoma","OK","United States","Creek","40037","CREEK, OK"
"Colfax, Nebraska, US","9","41.57486951","-97.0868542",,"Colfax, Nebraska, US","US","Nebraska","Nebraska","NE","United States","Colfax","31037","COLFAX, NE"
"Wilkes, North Carolina, US","13","36.2084135","-81.16232895",,"Wilkes, North Carolina, US","US","North Carolina","North Carolina","NC","United States","Wilkes","37193","WILKES, NC"
"Shasta, California, US","22","40.7909","-121.8474","180080","Shasta, California, US","US","California","California","CA","United States","Shasta","6089","SHASTA, CA"
"Callahan, Texas, US","5","32.29760619","-99.37326312",,"Callahan, Texas, US","US","Texas","Texas","TX","United States","Callahan","48059","CALLAHAN, TX"
"Saline, Missouri, US","8","39.13734288","-93.20259964",,"Saline, Missouri, US","US","Missouri","Missouri","MO","United States","Saline","29195","SALINE, MO"
"Napa, California, US","21","38.50735751","-122.332839",,"Napa, California, US","US","California","California","CA","United States","Napa","6055","NAPA, CA"
"Montgomery, Maryland, US","25","39.1547","-77.2405","1050688","Montgomery, Maryland, US","US","Maryland","Maryland","MD","United States","Montgomery","24031","MONTGOMERY, MD"
"Finland","74","61.92411","25.748151","5540718","Finland","Finland","","",,"Global",,,
"New Caledonia, France","24","-20.9043","165.6180","285491","New Caledonia, France","France","New Caledonia","New Caledonia",,"Global",,,
"Fannin, Georgia, US","18","34.86430205","-84.316964",,"Fannin, Georgia, US","US","Georgia","Georgia","GA","United States","Fannin","13111","FANNIN, GA"
"Madison, Idaho, US","21","43.78141028","-111.6538474",,"Madison, Idaho, US","US","Idaho","Idaho","ID","United States","Madison","16065","MADISON, ID"
"Macon, Georgia, US","19","32.35207048","-84.04234127",,"Macon, Georgia, US","US","Georgia","Georgia","GA","United States","Macon","13193","MACON, GA"
"Dinwiddie, Virginia, US","5","37.07544585","-77.63451754",,"Dinwiddie, Virginia, US","US","Virginia","Virginia","VA","United States","Dinwiddie","51053","DINWIDDIE, VA"
"Laurel, Kentucky, US","19","37.10975748","-84.11321779",,"Laurel, Kentucky, US","US","Kentucky","Kentucky","KY","United States","Laurel","21125","LAUREL, KY"
