FIPS,Name,State,StateName,FIPSKey,Location Name Key,Latitude,Longitude
01001,Autauga,AL,Alabama,Autauga|AL,"Autauga, AL, US",32.53952745,-86.64408227
01003,Baldwin,AL,Alabama,Baldwin|AL,"Baldwin, AL, US",30.72774991,-87.72207058
01005,Barbour,AL,Alabama,Barbour|AL,"Barbour, AL, US",31.868263,-85.3871286
01007,Bibb,AL,Alabama,Bibb|AL,"Bibb, AL, US",32.99642064,-87.1251146
01009,Blount,AL,Alabama,Blount|AL,"Blount, AL, US",33.98210918,-86.56790593
01011,Bullock,AL,Alabama,Bullock|AL,"Bullock, AL, US",32.10030533,-85.71265535
01013,Butler,AL,Alabama,Butler|AL,"Butler, AL, US",31.75300095,-86.68057478
01015,Calhoun,AL,Alabama,Calhoun|AL,"Calhoun, AL, US",33.77483727,-85.82630386
01017,Chambers,AL,Alabama,Chambers|AL,"Chambers, AL, US",32.91360079,-85.39072749
01019,Cherokee,AL,Alabama,Cherokee|AL,"Cherokee, AL, US",34.17805983,-85.60638968
01021,Chilton,AL,Alabama,Chilton|AL,"Chilton, AL, US",32.85044126,-86.7173256
01023,Choctaw,AL,Alabama,Choctaw|AL,"Choctaw, AL, US",32.02227341,-88.2656443
01025,Clarke,AL,Alabama,Clarke|AL,"Clarke, AL, US",31.68099859,-87.83548597
01027,Clay,AL,Alabama,Clay|AL,"Clay, AL, US",33.26984193,-85.85836077
01029,Cleburne,AL,Alabama,Cleburne|AL,"Cleburne, AL, US",33.67679204,-85.52005899
01031,Coffee,AL,Alabama,Coffee|AL,"Coffee, AL, US",31.39932826,-85.98901039
01033,Colbert,AL,Alabama,Colbert|AL,"Colbert, AL, US",34.69847452,-87.80168544
01035,Conecuh,AL,Alabama,Conecuh|AL,"Conecuh, AL, US",31.43401703,-86.99320044
01037,Coosa,AL,Alabama,Coosa|AL,"Coosa, AL, US",32.93690146,-86.24847739
01039,Covington,AL,Alabama,Covington|AL,"Covington, AL, US",31.2477854,-86.45050893
01041,Crenshaw,AL,Alabama,Crenshaw|AL,"Crenshaw, AL, US",31.72941803,-86.31593104
01043,Cullman,AL,Alabama,Cullman|AL,"Cullman, AL, US",34.13020303,-86.86888037
01045,Dale,AL,Alabama,Dale|AL,"Dale, AL, US",31.43037123,-85.61095742
01047,Dallas,AL,Alabama,Dallas|AL,"Dallas, AL, US",32.32688101,-87.1086671
01049,De Kalb,AL,Alabama,De Kalb|AL,"De Kalb, AL, US",34.45946862,-85.80782906
01051,Elmore,AL,Alabama,Elmore|AL,"Elmore, AL, US",32.59785413,-86.14415284
01053,Escambia,AL,Alabama,Escambia|AL,"Escambia, AL, US",31.1256789,-87.15918694
01055,Etowah,AL,Alabama,Etowah|AL,"Etowah, AL, US",34.04567266,-86.04051873
01057,Fayette,AL,Alabama,Fayette|AL,"Fayette, AL, US",33.72076938,-87.73886638
01059,Franklin,AL,Alabama,Franklin|AL,"Franklin, AL, US",34.44235334,-87.84289505
01061,Geneva,AL,Alabama,Geneva|AL,"Geneva, AL, US",31.09389027,-85.83572839
01063,Greene,AL,Alabama,Greene|AL,"Greene, AL, US",32.85504247,-87.95684022
01065,Hale,AL,Alabama,Hale|AL,"Hale, AL, US",32.76039258,-87.63284988
01067,Henry,AL,Alabama,Henry|AL,"Henry, AL, US",31.51148016,-85.24267944
01069,Houston,AL,Alabama,Houston|AL,"Houston, AL, US",31.15197924,-85.29939599
01071,Jackson,AL,Alabama,Jackson|AL,"Jackson, AL, US",34.78144169,-85.99750489
01073,Jefferson,AL,Alabama,Jefferson|AL,"Jefferson, AL, US",33.55554728,-86.895063
01075,Lamar,AL,Alabama,Lamar|AL,"Lamar, AL, US",33.77995024,-88.09668032
01077,Lauderdale,AL,Alabama,Lauderdale|AL,"Lauderdale, AL, US",34.90171875,-87.65624729
01079,Lawrence,AL,Alabama,Lawrence|AL,"Lawrence, AL, US",34.52041498,-87.31069453
01081,Lee,AL,Alabama,Lee|AL,"Lee, AL, US",32.60154883,-85.35132246
01083,Limestone,AL,Alabama,Limestone|AL,"Limestone, AL, US",34.81185586,-86.98310072
01085,Lowndes,AL,Alabama,Lowndes|AL,"Lowndes, AL, US",32.1597283,-86.65158371
01087,Macon,AL,Alabama,Macon|AL,"Macon, AL, US",32.38759944,-85.69267724
01089,Madison,AL,Alabama,Madison|AL,"Madison, AL, US",34.76327133,-86.55069633
01091,Marengo,AL,Alabama,Marengo|AL,"Marengo, AL, US",32.24767634,-87.78796182
01093,Marion,AL,Alabama,Marion|AL,"Marion, AL, US",34.13697363,-87.88704173
01095,Marshall,AL,Alabama,Marshall|AL,"Marshall, AL, US",34.36975964,-86.30486727
01097,Mobile,AL,Alabama,Mobile|AL,"Mobile, AL, US",30.78472347,-88.20842409
01099,Monroe,AL,Alabama,Monroe|AL,"Monroe, AL, US",31.56729412,-87.36995001
01101,Montgomery,AL,Alabama,Montgomery|AL,"Montgomery, AL, US",32.2206831,-86.20969272
01103,Morgan,AL,Alabama,Morgan|AL,"Morgan, AL, US",34.45500589,-86.85475946
01105,Perry,AL,Alabama,Perry|AL,"Perry, AL, US",32.64048341,-87.29770589
01107,Pickens,AL,Alabama,Pickens|AL,"Pickens, AL, US",33.28094866,-88.08818103
01109,Pike,AL,Alabama,Pike|AL,"Pike, AL, US",31.80396383,-85.9408295
01111,Randolph,AL,Alabama,Randolph|AL,"Randolph, AL, US",33.29526734,-85.45708831
01113,Russell,AL,Alabama,Russell|AL,"Russell, AL, US",32.28725256,-85.18415324
01115,St Clair,AL,Alabama,St Clair|AL,"St Clair, AL, US",33.71902176,-86.31029372
01117,Shelby,AL,Alabama,Shelby|AL,"Shelby, AL, US",33.26879845,-86.66232561
01119,Sumter,AL,Alabama,Sumter|AL,"Sumter, AL, US",32.59117397,-88.19916205
01121,Talladega,AL,Alabama,Talladega|AL,"Talladega, AL, US",33.37823223,-86.16886178
01123,Tallapoosa,AL,Alabama,Tallapoosa|AL,"Tallapoosa, AL, US",32.86698258,-85.79833053
01125,Tuscaloosa,AL,Alabama,Tuscaloosa|AL,"Tuscaloosa, AL, US",33.28726072,-87.52556818
01127,Walker,AL,Alabama,Walker|AL,"Walker, AL, US",33.80270512,-87.30027177
01129,Washington,AL,Alabama,Washington|AL,"Washington, AL, US",31.4092794,-88.20689944
01131,Wilcox,AL,Alabama,Wilcox|AL,"Wilcox, AL, US",31.98773215,-87.30891118
01133,Winston,AL,Alabama,Winston|AL,"Winston, AL, US",34.15030532,-87.37325922
02013,Aleutians East,AK,Alaska,Aleutians East|AK,"Aleutians East, AK, US",55.32222414,-161.9722021
02016,Aleutians West,AK,Alaska,Aleutians West|AK,"Aleutians West, AK, US",52.72541116,-110.4086433
02020,Anchorage,AK,Alaska,Anchorage|AK,"Anchorage, AK, US",61.14998174,-149.1426986
02050,Bethel,AK,Alaska,Bethel|AK,"Bethel, AK, US",60.90980451,-159.8561831
02060,Bristol Bay,AK,Alaska,Bristol Bay|AK,"Bristol Bay, AK, US",58.74513976,-156.701064
02068,Denali,AK,Alaska,Denali|AK,"Denali, AK, US",63.67264044,-150.0076108
02070,Dillingham,AK,Alaska,Dillingham|AK,"Dillingham, AK, US",59.79603738,-158.2381942
02090,Fairbanks North Star,AK,Alaska,Fairbanks North Star|AK,"Fairbanks North Star, AK, US",64.80726247,-146.5692662
02100,Haines,AK,Alaska,Haines|AK,"Haines, AK, US",59.09893571,-135.4679843
02105,Hoonah–Angoon,AK,Alaska,Hoonah–Angoon|AK,"Hoonah–Angoon, AK, US",58.109444,-135.436389
02110,Juneau,AK,Alaska,Juneau|AK,"Juneau, AK, US",58.45031811,-134.200436
02122,Kenai Peninsula,AK,Alaska,Kenai Peninsula|AK,"Kenai Peninsula, AK, US",60.24429722,-151.5388884
02130,Ketchikan Gateway,AK,Alaska,Ketchikan Gateway|AK,"Ketchikan Gateway, AK, US",55.57445008,-130.975561
02150,Kodiak Island,AK,Alaska,Kodiak Island|AK,"Kodiak Island, AK, US",57.65529415,-153.7493579
02158,Kusilvak,AK,Alaska,Kusilvak|AK,"Kusilvak, AK, US",61.528889,-166.096111
02164,Lake and Peninsula,AK,Alaska,Lake and Peninsula|AK,"Lake and Peninsula, AK, US",58.62403337,-156.2140589
02170,Matanuska-Susitna,AK,Alaska,Matanuska-Susitna|AK,"Matanuska-Susitna, AK, US",62.31305045,-149.5741743
02180,Nome,AK,Alaska,Nome|AK,"Nome, AK, US",64.90320724,-164.0353804
02185,North Slope,AK,Alaska,North Slope|AK,"North Slope, AK, US",69.31479216,-153.4836093
02188,Northwest Arctic,AK,Alaska,Northwest Arctic|AK,"Northwest Arctic, AK, US",67.04919196,-159.7503946
02195,Petersburg Borough,AK,Alaska,Petersburg Borough|AK,"Petersburg Borough, AK, US",56.804444,-132.941944
02198,Prince of Wales – Hyder,AK,Alaska,Prince of Wales – Hyder|AK,"Prince of Wales – Hyder, AK, US",55.476389,-133.148333
02201,Prince of Wales-Outer Ketchikan,AK,Alaska,Prince of Wales-Outer Ketchikan|AK,"Prince of Wales-Outer Ketchikan, AK, US",56.1228,-133.13195
02220,Sitka,AK,Alaska,Sitka|AK,"Sitka, AK, US",57.24124555,-135.3206587
02230,Skagway,AK,Alaska,Skagway|AK,"Skagway, AK, US",59.458333,-135.313889
02232,Skagway-Hoonah-Angoon,AK,Alaska,Skagway-Hoonah-Angoon|AK,"Skagway-Hoonah-Angoon, AK, US",59.46305,-135.31651
02240,Southeast Fairbanks,AK,Alaska,Southeast Fairbanks|AK,"Southeast Fairbanks, AK, US",63.87692095,-143.2127643
02261,Valdez-Cordova,AK,Alaska,Valdez-Cordova|AK,"Valdez-Cordova, AK, US",61.47502768,-144.7126799
02270,Wade Hampton,AK,Alaska,Wade Hampton|AK,"Wade Hampton, AK, US",62.117231,-163.237636
02275,Wrangell,AK,Alaska,Wrangell|AK,"Wrangell, AK, US",56.4708333,-132.3766667
02280,Wrangell-Petersburg,AK,Alaska,Wrangell-Petersburg|AK,"Wrangell-Petersburg, AK, US",56.470749,-132.383728
02282,Yakutat,AK,Alaska,Yakutat|AK,"Yakutat, AK, US",59.8909808,-140.3601451
02290,Yukon-Koyukuk,AK,Alaska,Yukon-Koyukuk|AK,"Yukon-Koyukuk, AK, US",65.50815459,-151.3907387
04001,Apache,AZ,Arizona,Apache|AZ,"Apache, AZ, US",35.39465006,-109.4892383
04003,Cochise,AZ,Arizona,Cochise|AZ,"Cochise, AZ, US",31.87934684,-109.7516088
04005,Coconino,AZ,Arizona,Coconino|AZ,"Coconino, AZ, US",35.83883429,-111.7707178
04007,Gila,AZ,Arizona,Gila|AZ,"Gila, AZ, US",33.80190085,-110.8132779
04009,Graham,AZ,Arizona,Graham|AZ,"Graham, AZ, US",32.93166885,-109.8882178
04011,Greenlee,AZ,Arizona,Greenlee|AZ,"Greenlee, AZ, US",33.21498827,-109.2405279
04012,La Paz,AZ,Arizona,La Paz|AZ,"La Paz, AZ, US",33.72854224,-113.9810029
04013,Maricopa,AZ,Arizona,Maricopa|AZ,"Maricopa, AZ, US",33.34835867,-112.4918154
04015,Mohave,AZ,Arizona,Mohave|AZ,"Mohave, AZ, US",35.70471703,-113.7577902
04017,Navajo,AZ,Arizona,Navajo|AZ,"Navajo, AZ, US",35.3997715,-110.3218983
04019,Pima,AZ,Arizona,Pima|AZ,"Pima, AZ, US",32.0971334,-111.7890033
04021,Pinal,AZ,Arizona,Pinal|AZ,"Pinal, AZ, US",32.90525627,-111.3449483
04023,Santa Cruz,AZ,Arizona,Santa Cruz|AZ,"Santa Cruz, AZ, US",31.52508998,-110.8479088
04025,Yavapai,AZ,Arizona,Yavapai|AZ,"Yavapai, AZ, US",34.59933926,-112.5538588
04027,Yuma,AZ,Arizona,Yuma|AZ,"Yuma, AZ, US",32.76895712,-113.9066674
05001,Arkansas,AR,Arkansas,Arkansas|AR,"Arkansas, AR, US",34.29145151,-91.37277296
05003,Ashley,AR,Arkansas,Ashley|AR,"Ashley, AR, US",33.19153461,-91.7698471
05005,Baxter,AR,Arkansas,Baxter|AR,"Baxter, AR, US",36.28784385,-92.33782872
05007,Benton,AR,Arkansas,Benton|AR,"Benton, AR, US",36.33644656,-94.25680817
05009,Boone,AR,Arkansas,Boone|AR,"Boone, AR, US",36.3084504,-93.09374925
05011,Bradley,AR,Arkansas,Bradley|AR,"Bradley, AR, US",33.46755808,-92.15980837
05013,Calhoun,AR,Arkansas,Calhoun|AR,"Calhoun, AR, US",33.55598792,-92.49974403
05015,Carroll,AR,Arkansas,Carroll|AR,"Carroll, AR, US",36.3403856,-93.54270261
05017,Chicot,AR,Arkansas,Chicot|AR,"Chicot, AR, US",33.26458973,-91.29539209
05019,Clark,AR,Arkansas,Clark|AR,"Clark, AR, US",34.04613432,-93.17484713
05021,Clay,AR,Arkansas,Clay|AR,"Clay, AR, US",36.36826212,-90.4148172
05023,Cleburne,AR,Arkansas,Cleburne|AR,"Cleburne, AR, US",35.53864922,-92.02640019
05025,Cleveland,AR,Arkansas,Cleveland|AR,"Cleveland, AR, US",33.89723187,-92.18537045
05027,Columbia,AR,Arkansas,Columbia|AR,"Columbia, AR, US",33.21230701,-93.22642793
05029,Conway,AR,Arkansas,Conway|AR,"Conway, AR, US",35.26205537,-92.70506566
05031,Craighead,AR,Arkansas,Craighead|AR,"Craighead, AR, US",35.83018283,-90.63235729
05033,Crawford,AR,Arkansas,Crawford|AR,"Crawford, AR, US",35.58928601,-94.2446814
05035,Crittenden,AR,Arkansas,Crittenden|AR,"Crittenden, AR, US",35.21247318,-90.30839406
05037,Cross,AR,Arkansas,Cross|AR,"Cross, AR, US",35.29631396,-90.77185818
05039,Dallas,AR,Arkansas,Dallas|AR,"Dallas, AR, US",33.97042763,-92.65167437
05041,Desha,AR,Arkansas,Desha|AR,"Desha, AR, US",33.83011025,-91.25500948
05043,Drew,AR,Arkansas,Drew|AR,"Drew, AR, US",33.59035001,-91.71777921
05045,Faulkner,AR,Arkansas,Faulkner|AR,"Faulkner, AR, US",35.14719007,-92.33717519
05047,Franklin,AR,Arkansas,Franklin|AR,"Franklin, AR, US",35.51202821,-93.89299569
05049,Fulton,AR,Arkansas,Fulton|AR,"Fulton, AR, US",36.38177105,-91.81729127
05051,Garland,AR,Arkansas,Garland|AR,"Garland, AR, US",34.57692074,-93.14921604
