"Province_State","State_Code","Location Key Name","Latitude","Longitude","Combined_Key"
"Alabama","AL","AL, US","32.3182","-86.9023","Alabama, US"
"Alaska","AK","AK, US","61.3707","-152.4044","Alaska, US"
"Arkansas","AR","AR, US","34.9697","-92.3731","Arkansas, US"
"American Samoa","AS","AS, US","-14.271","-170.132","American Samoa, US"
"Arizona","AZ","AZ, US","33.7298","-111.4312","Arizona, US"
"California","CA","CA, US","36.1162","-119.6816","California, US"
"Colorado","CO","CO, US","39.0598","-105.3111","Colorado, US"
"Connecticut","CT","CT, US","41.5978","-72.7554","Connecticut, US"
"District of Columbia","DC","DC, US","38.8974","-77.0268","District of Columbia, US"
"Delaware","DE","DE, US","39.3185","-75.5071","Delaware, US"
"Florida","FL","FL, US","27.7663","-81.6868","Florida, US"
"Georgia","GA","GA, US","33.0406","-83.6431","Georgia, US"
"Guam","GU","GU, US","13.4443","144.7937","Guam, US"
"Hawaii","HI","HI, US","21.0943","-157.4983","Hawaii, US"
"Iowa","IA","IA, US","42.0115","-93.2105","Iowa, US"
"Idaho","ID","ID, US","44.2405","-114.4788","Idaho, US"
"Illinois","IL","IL, US","40.3495","-88.9861","Illinois, US"
"Indiana","IN","IN, US","39.8494","-86.2583","Indiana, US"
"Kansas","KS","KS, US","38.5266","-96.7265","Kansas, US"
"Kentucky","KY","KY, US","37.6681","-84.6701","Kentucky, US"
"Louisiana","LA","LA, US","31.1695","-91.8678","Louisiana, US"
"Massachusetts","MA","MA, US","42.2302","-71.5301","Massachusetts, US"
"Maryland","MD","MD, US","39.0639","-76.8021","Maryland, US"
"Maine","ME","ME, US","44.6939","-69.3819","Maine, US"
"Michigan","MI","MI, US","43.3266","-84.5361","Michigan, US"
"Minnesota","MN","MN, US","45.6945","-93.9002","Minnesota, US"
"Missouri","MO","MO, US","38.4561","-92.2884","Missouri, US"
"Northern Mariana Islands","MP","MP, US","15.0979","145.6739","Northern Mariana Islands, US"
"Mississippi","MS","MS, US","32.7416","-89.6787","Mississippi, US"
"Montana","MT","MT, US","46.9219","-110.4544","Montana, US"
"North Carolina","NC","NC, US","35.6301","-79.8064","North Carolina, US"
"North Dakota","ND","ND, US","47.5289","-99.784","North Dakota, US"
"Nebraska","NE","NE, US","41.1254","-98.2681","Nebraska, US"
"New Hampshire","NH","NH, US","43.4525","-71.5639","New Hampshire, US"
"New Jersey","NJ","NJ, US","40.298904","-74.521011","New Jersey, US"
"New Mexico","NM","NM, US","34.8405","-106.2485","New Mexico, US"
"Nevada","NV","NV, US","38.3135","-117.0554","Nevada, US"
"New York","NY","NY, US","42.1657","-74.9481","New York, US"
"Ohio","OH","OH, US","40.3888","-82.7649","Ohio, US"
"Oklahoma","OK","OK, US","35.5653","-96.9289","Oklahoma, US"
"Oregon","OR","OR, US","44.572","-122.0709","Oregon, US"
"Pennsylvania","PA","PA, US","40.590752","-77.209755","Pennsylvania, US"
"Puerto Rico","PR","PR, US","18.2208","-66.5901","Puerto Rico, US"
"Rhode Island","RI","RI, US","41.6809","-71.5118","Rhode Island, US"
"South Carolina","SC","SC, US","33.8569","-80.945","South Carolina, US"
"South Dakota","SD","SD, US","44.2998","-99.4388","South Dakota, US"
"Tennessee","TN","TN, US","35.7478","-86.6923","Tennessee, US"
"Texas","TX","TX, US","31.0545","-97.5635","Texas, US"
"Utah","UT","UT, US","40.15","-111.8624","Utah, US"
"Virginia","VA","VA, US","37.7693","-78.17","Virginia, US"
"Virgin Islands","VI","VI, US","18.3358","-64.8963","Virgin Islands, US"
"Vermont","VT","VT, US","44.0459","-72.7107","Vermont, US"
"Washington","WA","WA, US","47.4009","-121.4905","Washington, US"
"Wisconsin","WI","WI, US","44.2685","-89.6165","Wisconsin, US"
"West Virginia","WV","WV, US","38.4912","-80.9545","West Virginia, US"
"Wyoming","WY","WY, US","42.756","-107.3025","Wyoming, US"
"Federated States of Micronesia","FM","FM, US","6.916667","158.25","Federated States of Micronesia, US"
"Marshall Islands","MH","MH, US","9","168","Marshall Islands, US"
"Palau","PW","PW, US","7.5","134.5","Palau, US"
