"Location Name Key","Number of Rows","Latitude","Longitude","Population","Combined_Key","Country or Region","Province or State","State","Name","USA or Global","USA State County","FIPS USA State County code","County State Key","Combined_Key_Status","CSV File Name 1st Found","CSV File 1st Row Number "
"Charlevoix, Michigan, US","25","45.37790017","-85.19614053",,"Charlevoix, Michigan, US","US","Michigan","Michigan","MI","United States","Charlevoix","26029","CHARLEVOIX, MI","OK","03-22-2020.csv","0181"
"Bamberg, South Carolina, US","16","33.21927586","-81.05659969",,"Bamberg, South Carolina, US","US","South Carolina","South Carolina","SC","United States","Bamberg","45009","BAMBERG, SC","OK","03-31-2020.csv","0089"
"Portage, Wisconsin, US","21","44.47558711","-89.50152965",,"Portage, Wisconsin, US","US","Wisconsin","Wisconsin","WI","United States","Portage","55097","PORTAGE, WI","OK","03-26-2020.csv","2320"
"Orleans, Louisiana, US","25","30.06971951","-89.92660315",,"Orleans, Louisiana, US","US","Louisiana","Louisiana","LA","United States","Orleans","22071","ORLEANS, LA","OK","03-22-2020.csv","0247"
"Pulaski, Virginia, US","13","37.06474963","-80.71229738",,"Pulaski, Virginia, US","US","Virginia","Virginia","VA","United States","Pulaski","51155","PULASKI, VA","OK","04-03-2020.csv","1737"
"El Paso, Colorado, US","28","38.9108","-104.4723","720403","El Paso, Colorado, US","US","Colorado","Colorado","CO","United States","El Paso","8041","EL PASO, CO","OK","03-07-2020.csv","0189"
"Rockwall, Texas, US","21","32.89779518","-96.40771592",,"Rockwall, Texas, US","US","Texas","Texas","TX","United States","Rockwall","48397","ROCKWALL, TX","OK","03-26-2020.csv","2461"
"Burke, Georgia, US","23","33.05917989","-81.99928721",,"Burke, Georgia, US","US","Georgia","Georgia","GA","United States","Burke","13033","BURKE, GA","OK","03-24-2020.csv","0313"
"Dade, Georgia, US","16","34.854916700000004","-85.50490424",,"Dade, Georgia, US","US","Georgia","Georgia","GA","United States","Dade","13083","DADE, GA","OK","03-31-2020.csv","0495"
"Unassigned, Massachusetts, US","25","0","0",,"Unassigned, Massachusetts, US","US","Massachusetts","Massachusetts","MA","United States","Unassigned","","UNASSIGNED, MA","OK","03-22-2020.csv","0292"
"Claiborne, Tennessee, US","24","36.48319149","-83.65947309",,"Claiborne, Tennessee, US","US","Tennessee","Tennessee","TN","United States","Claiborne","47025","CLAIBORNE, TN","OK","03-23-2020.csv","0515"
"Harrison, Missouri, US","16","40.35570088","-93.99222144",,"Harrison, Missouri, US","US","Missouri","Missouri","MO","United States","Harrison","29081","HARRISON, MO","OK","03-31-2020.csv","0819"
"Fall River, South Dakota, US","18","43.23929297","-103.5275691",,"Fall River, South Dakota, US","US","South Dakota","South Dakota","SD","United States","Fall River","46047","FALL RIVER, SD","OK","03-29-2020.csv","0903"
"Champaign, Illinois, US","25","40.13919438","-88.20046615",,"Champaign, Illinois, US","US","Illinois","Illinois","IL","United States","Champaign","17019","CHAMPAIGN, IL","OK","03-22-2020.csv","0154"
"Guinea","34","9.9456","-9.6966","13132792","Guinea","Guinea","","",,"Global",,,,"OK","03-13-2020.csv","0120"
"Livingston, Michigan, US","25","42.60302282","-83.91297209",,"Livingston, Michigan, US","US","Michigan","Michigan","MI","United States","Livingston","26093","LIVINGSTON, MI","OK","03-22-2020.csv","0175"
"Hamilton, Kansas, US","5","37.99978709","-101.7921066",,"Hamilton, Kansas, US","US","Kansas","Kansas","KS","United States","Hamilton","20075","HAMILTON, KS","OK","04-11-2020.csv","0975"
"Crane, Texas, US","25","31.43052248","-102.5143314",,"Crane, Texas, US","US","Texas","Texas","TX","United States","Crane","48103","CRANE, TX","OK","03-22-2020.csv","0341"
"Eastland, Texas, US","24","32.32743996","-98.83243566",,"Eastland, Texas, US","US","Texas","Texas","TX","United States","Eastland","48133","EASTLAND, TX","OK","03-23-2020.csv","0841"
"Jefferson, West Virginia, US","25","39.30776166","-77.86014147",,"Jefferson, West Virginia, US","US","West Virginia","West Virginia","WV","United States","Jefferson","54037","JEFFERSON, WV","OK","03-22-2020.csv","1150"
"Montenegro","30","42.5000","19.3000","628062","Montenegro","Montenegro","","",,"Global",,,,"OK","03-17-2020.csv","0237"
"Randolph, Illinois, US","17","38.05095369","-89.82512254",,"Randolph, Illinois, US","US","Illinois","Illinois","IL","United States","Randolph","17157","RANDOLPH, IL","OK","03-30-2020.csv","2387"
"Polk, Iowa, US","25","41.68679484","-93.57767461",,"Polk, Iowa, US","US","Iowa","Iowa","IA","United States","Polk","19153","POLK, IA","OK","03-22-2020.csv","0988"
"Shelby, Illinois, US","8","39.39133527","-88.80611122",,"Shelby, Illinois, US","US","Illinois","Illinois","IL","United States","Shelby","17173","SHELBY, IL","OK","04-08-2020.csv","2110"
"Madison, Virginia, US","23","38.41531222","-78.28220331",,"Madison, Virginia, US","US","Virginia","Virginia","VA","United States","Madison","51113","MADISON, VA","OK","03-24-2020.csv","1774"
"Tehama, California, US","12","40.12570935","-122.2370171",,"Tehama, California, US","US","California","California","CA","United States","Tehama","6103","TEHAMA, CA","OK","04-04-2020.csv","2086"
"Campbell, Tennessee, US","25","36.40355516","-84.1510856",,"Campbell, Tennessee, US","US","Tennessee","Tennessee","TN","United States","Campbell","47013","CAMPBELL, TN","OK","03-22-2020.csv","0500"
"Queens, New York, US","1","40.7282","-73.7949","2253858","Queens, New York, US","US","New York","New York","NY","United States","Queens","36081","QUEENS, NY","OK","03-05-2020.csv","0159"
"Hutchinson, Texas, US","12","35.84006574","-101.3546643",,"Hutchinson, Texas, US","US","Texas","Texas","TX","United States","Hutchinson","48233","HUTCHINSON, TX","OK","04-04-2020.csv","0993"
"Ford, Kansas, US","17","37.69200114","-99.88825298",,"Ford, Kansas, US","US","Kansas","Kansas","KS","United States","Ford","20057","FORD, KS","OK","03-28-2020.csv","0946"
"Haywood, Tennessee, US","18","35.58332824","-89.28536625",,"Haywood, Tennessee, US","US","Tennessee","Tennessee","TN","United States","Haywood","47075","HAYWOOD, TN","OK","03-29-2020.csv","1234"
"Schoharie, New York, US","25","42.58831742","-74.4433903",,"Schoharie, New York, US","US","New York","New York","NY","United States","Schoharie","36095","SCHOHARIE, NY","OK","03-22-2020.csv","0042"
"St. Landry, Louisiana, US","25","30.59724262","-92.00135806",,"St. Landry, Louisiana, US","US","Louisiana","Louisiana","LA","United States","St. Landry","22097","ST. LANDRY, LA","OK","03-22-2020.csv","0264"
"Dunklin, Missouri, US","25","36.27167174","-90.09122243",,"Dunklin, Missouri, US","US","Missouri","Missouri","MO","United States","Dunklin","29069","DUNKLIN, MO","OK","03-22-2020.csv","0982"
"McLennan, Texas, US","25","31.55255453","-97.20217694",,"McLennan, Texas, US","US","Texas","Texas","TX","United States","McLennan","48309","MCLENNAN, TX","OK","03-22-2020.csv","0307"
"Hemphill, Texas, US","13","35.83764858","-100.2703577",,"Hemphill, Texas, US","US","Texas","Texas","TX","United States","Hemphill","48211","HEMPHILL, TX","OK","04-03-2020.csv","0906"
"Wilkinson, Mississippi, US","25","31.16078225","-91.31018819",,"Wilkinson, Mississippi, US","US","Mississippi","Mississippi","MS","United States","Wilkinson","28157","WILKINSON, MS","OK","03-22-2020.csv","0727"
"Noxubee, Mississippi, US","23","33.11009499","-88.56949061",,"Noxubee, Mississippi, US","US","Mississippi","Mississippi","MS","United States","Noxubee","28103","NOXUBEE, MS","OK","03-24-2020.csv","2105"
"Simpson, Kentucky, US","23","36.74058474","-86.58047435",,"Simpson, Kentucky, US","US","Kentucky","Kentucky","KY","United States","Simpson","21213","SIMPSON, KY","OK","03-24-2020.csv","2618"
"Nicollet, Minnesota, US","25","44.35291112","-94.24710352",,"Nicollet, Minnesota, US","US","Minnesota","Minnesota","MN","United States","Nicollet","27103","NICOLLET, MN","OK","03-22-2020.csv","0858"
"Unassigned, Kansas, US","6","","",,"Unassigned, Kansas, US","US","Kansas","Kansas","KS","United States","Unassigned","90020","UNASSIGNED, KS","OK","04-09-2020.csv","2362"
"Vanderburgh, Indiana, US","25","38.02658833","-87.58763124",,"Vanderburgh, Indiana, US","US","Indiana","Indiana","IN","United States","Vanderburgh","18163","VANDERBURGH, IN","OK","03-22-2020.csv","0788"
"Putnam, Ohio, US","4","41.02094889","-84.1336111",,"Putnam, Ohio, US","US","Ohio","Ohio","OH","United States","Putnam","39137","PUTNAM, OH","OK","04-06-2020.csv","1876"
"St. Mary's, Maryland, US","25","38.30058422","-76.6062928",,"St. Mary's, Maryland, US","US","Maryland","Maryland","MD","United States","St. Mary's","24037","ST. MARY'S, MD","OK","03-22-2020.csv","0668"
"Bhutan","41","27.5142","90.4336","771612","Bhutan","Bhutan","","",,"Global",,,,"OK","03-06-2020.csv","0141"
"Columbia, Washington, US","25","46.29442881","-117.9051983",,"Columbia, Washington, US","US","Washington","Washington","WA","United States","Columbia","53013","COLUMBIA, WA","OK","03-22-2020.csv","0068"
"Lincoln, Louisiana, US","24","32.6003154","-92.66597409999999",,"Lincoln, Louisiana, US","US","Louisiana","Louisiana","LA","United States","Lincoln","22061","LINCOLN, LA","OK","03-23-2020.csv","1670"
"Linn, Oregon, US","25","44.48899494","-122.5373154",,"Linn, Oregon, US","US","Oregon","Oregon","OR","United States","Linn","41043","LINN, OR","OK","03-22-2020.csv","0904"
"Kearney, Nebraska, US","20","40.50663314","-98.94877182",,"Kearney, Nebraska, US","US","Nebraska","Nebraska","NE","United States","Kearney","31099","KEARNEY, NE","OK","03-27-2020.csv","1477"
"Taylor, Iowa, US","19","40.73710579","-94.69778563",,"Taylor, Iowa, US","US","Iowa","Iowa","IA","United States","Taylor","19173","TAYLOR, IA","OK","03-28-2020.csv","2770"
"Dorchester, Maryland, US","15","38.45413522","-76.02752426",,"Dorchester, Maryland, US","US","Maryland","Maryland","MD","United States","Dorchester","24019","DORCHESTER, MD","OK","04-01-2020.csv","0576"
"Butler, Pennsylvania, US","25","40.91152759","-79.91351055",,"Butler, Pennsylvania, US","US","Pennsylvania","Pennsylvania","PA","United States","Butler","42019","BUTLER, PA","OK","03-22-2020.csv","0475"
"Jasper, Missouri, US","10","37.20351921","-94.34050458",,"Jasper, Missouri, US","US","Missouri","Missouri","MO","United States","Jasper","29097","JASPER, MO","OK","03-22-2020.csv","0983"
"Oglala Lakota, South Dakota, US","8","43.33749164","-102.55554980000001",,"Oglala Lakota, South Dakota, US","US","South Dakota","South Dakota","SD","United States","Oglala Lakota","46102","OGLALA LAKOTA, SD","OK","04-08-2020.csv","1728"
