Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,CSV File Name,Date Reported
Anhui,Mainland China,1/23/20 17:00,9,,,01-23-2020.csv,01-23-2020
Beijing,Mainland China,1/23/20 17:00,22,,,01-23-2020.csv,01-23-2020
Chongqing,Mainland China,1/23/20 17:00,9,,,01-23-2020.csv,01-23-2020
Fujian,Mainland China,1/23/20 17:00,5,,,01-23-2020.csv,01-23-2020
Gansu,Mainland China,1/23/20 17:00,2,,,01-23-2020.csv,01-23-2020
Guangdong,Mainland China,1/23/20 17:00,32,,2,01-23-2020.csv,01-23-2020
Guangxi,Mainland China,1/23/20 17:00,5,,,01-23-2020.csv,01-23-2020
Guizhou,Mainland China,1/23/20 17:00,3,,,01-23-2020.csv,01-23-2020
Hainan,Mainland China,1/23/20 17:00,5,,,01-23-2020.csv,01-23-2020
Hebei,Mainland China,1/23/20 17:00,1,1,,01-23-2020.csv,01-23-2020
Heilongjiang,Mainland China,1/23/20 17:00,2,,,01-23-2020.csv,01-23-2020
Henan,Mainland China,1/23/20 17:00,5,,,01-23-2020.csv,01-23-2020
Hong Kong,Hong Kong,1/23/20 17:00,2,,,01-23-2020.csv,01-23-2020
Hubei,Mainland China,1/23/20 17:00,444,17,28,01-23-2020.csv,01-23-2020
Hunan,Mainland China,1/23/20 17:00,9,,,01-23-2020.csv,01-23-2020
Inner Mongolia,Mainland China,1/23/20 17:00,,,,01-23-2020.csv,01-23-2020
Jiangsu,Mainland China,1/23/20 17:00,5,,,01-23-2020.csv,01-23-2020
Jiangxi,Mainland China,1/23/20 17:00,7,,,01-23-2020.csv,01-23-2020
Jilin,Mainland China,1/23/20 17:00,1,,,01-23-2020.csv,01-23-2020
Liaoning,Mainland China,1/23/20 17:00,3,,,01-23-2020.csv,01-23-2020
Macau,Macau,1/23/20 17:00,2,,,01-23-2020.csv,01-23-2020
Ningxia,Mainland China,1/23/20 17:00,1,,,01-23-2020.csv,01-23-2020
Qinghai,Mainland China,1/23/20 17:00,,,,01-23-2020.csv,01-23-2020
Shaanxi,Mainland China,1/23/20 17:00,3,,,01-23-2020.csv,01-23-2020
Shandong,Mainland China,1/23/20 17:00,6,,,01-23-2020.csv,01-23-2020
Shanghai,Mainland China,1/23/20 17:00,16,,,01-23-2020.csv,01-23-2020
Shanxi,Mainland China,1/23/20 17:00,1,,,01-23-2020.csv,01-23-2020
Sichuan,Mainland China,1/23/20 17:00,8,,,01-23-2020.csv,01-23-2020
Taiwan,Taiwan,1/23/20 17:00,1,,,01-23-2020.csv,01-23-2020
Tianjin,Mainland China,1/23/20 17:00,4,,,01-23-2020.csv,01-23-2020
Tibet,Mainland China,1/23/20 17:00,,,,01-23-2020.csv,01-23-2020
Washington,US,1/23/20 17:00,1,,,01-23-2020.csv,01-23-2020
Xinjiang,Mainland China,1/23/20 17:00,2,,,01-23-2020.csv,01-23-2020
Yunnan,Mainland China,1/23/20 17:00,2,,,01-23-2020.csv,01-23-2020
Zhejiang,Mainland China,1/23/20 17:00,27,,,01-23-2020.csv,01-23-2020
,Japan,1/23/20 17:00,1,,,01-23-2020.csv,01-23-2020
,Thailand,1/23/20 17:00,3,,,01-23-2020.csv,01-23-2020
,South Korea,1/23/20 17:00,1,,,01-23-2020.csv,01-23-2020
,Singapore,1/23/20 17:00,1,,,01-23-2020.csv,01-23-2020
,Philippines,1/23/20 17:00,,,,01-23-2020.csv,01-23-2020
,Malaysia,1/23/20 17:00,,,,01-23-2020.csv,01-23-2020
,Vietnam,1/23/20 17:00,2,,,01-23-2020.csv,01-23-2020
,Australia,1/23/20 17:00,,,,01-23-2020.csv,01-23-2020
,Mexico,1/23/20 17:00,,,,01-23-2020.csv,01-23-2020
,Brazil,1/23/20 17:00,,,,01-23-2020.csv,01-23-2020
,Colombia,1/23/20 17:00,,,,01-23-2020.csv,01-23-2020
