"Province/State","Country/Region","Last Update","Confirmed","Deaths","Recovered","CSV File Name"
"Hubei","Mainland China","2020-02-06T23:23:02","22112","618","817","02-06-2020.csv"
"Guangdong","Mainland China","2020-02-06T12:43:02","970","0","69","02-06-2020.csv"
"Zhejiang","Mainland China","2020-02-06T10:53:04","954","0","94","02-06-2020.csv"
"Henan","Mainland China","2020-02-06T11:23:14","851","2","56","02-06-2020.csv"
"Hunan","Mainland China","2020-02-06T13:13:06","711","0","81","02-06-2020.csv"
"Jiangxi","Mainland China","2020-02-06T02:33:01","600","0","37","02-06-2020.csv"
"Anhui","Mainland China","2020-02-06T13:33:02","591","0","34","02-06-2020.csv"
"Chongqing","Mainland China","2020-02-06T23:33:02","411","2","24","02-06-2020.csv"
"Jiangsu","Mainland China","2020-02-06T08:03:10","373","0","34","02-06-2020.csv"
"Shandong","Mainland China","2020-02-06T07:53:02","347","0","27","02-06-2020.csv"
"Sichuan","Mainland China","2020-02-06T08:03:10","321","1","31","02-06-2020.csv"
"Beijing","Mainland China","2020-02-06T03:23:11","274","1","31","02-06-2020.csv"
"Shanghai","Mainland China","2020-02-06T06:53:07","257","1","25","02-06-2020.csv"
"Heilongjiang","Mainland China","2020-02-06T08:13:06","227","3","8","02-06-2020.csv"
"Fujian","Mainland China","2020-02-06T11:03:19","215","0","14","02-06-2020.csv"
"Shaanxi","Mainland China","2020-02-06T13:53:02","173","0","9","02-06-2020.csv"
"Guangxi","Mainland China","2020-02-06T04:13:13","168","0","14","02-06-2020.csv"
"Hebei","Mainland China","2020-02-06T13:53:02","157","1","13","02-06-2020.csv"
"Yunnan","Mainland China","2020-02-06T09:43:02","133","0","7","02-06-2020.csv"
"Hainan","Mainland China","2020-02-06T11:13:24","106","1","8","02-06-2020.csv"
"Shanxi","Mainland China","2020-02-06T23:03:02","96","0","12","02-06-2020.csv"
"Liaoning","Mainland China","2020-02-06T14:33:02","94","0","5","02-06-2020.csv"
"Tianjin","Mainland China","2020-02-06T23:43:01","79","1","2","02-06-2020.csv"
"Guizhou","Mainland China","2020-02-06T09:53:02","71","1","6","02-06-2020.csv"
"Gansu","Mainland China","2020-02-05T16:23:06","62","0","6","02-06-2020.csv"
"Jilin","Mainland China","2020-02-06T14:23:04","59","0","4","02-06-2020.csv"
"Inner Mongolia","Mainland China","2020-02-06T02:23:08","46","0","4","02-06-2020.csv"
"","Japan","2020-02-06T02:53:03","45","0","1","02-06-2020.csv"
"Ningxia","Mainland China","2020-02-06T02:13:15","40","0","1","02-06-2020.csv"
"Xinjiang","Mainland China","2020-02-06T01:13:08","36","0","0","02-06-2020.csv"
"","Singapore","2020-02-05T16:33:03","28","0","0","02-06-2020.csv"
"","Thailand","2020-02-04T15:33:03","25","0","5","02-06-2020.csv"
"Hong Kong","Hong Kong","2020-02-06T14:43:02","24","1","0","02-06-2020.csv"
"","South Korea","2020-02-06T02:53:03","23","0","0","02-06-2020.csv"
"Qinghai","Mainland China","2020-02-06T02:13:15","18","0","3","02-06-2020.csv"
"Taiwan","Taiwan","2020-02-06T15:03:04","16","0","1","02-06-2020.csv"
"","Germany","2020-02-03T20:53:02","12","0","0","02-06-2020.csv"
