Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,CSV File Name,Date Reported
Hubei,Mainland China,2020-03-01T10:13:19,66907,2761,31536,30.9756,112.2707,03-01-2020.csv,03-01-2020
,South Korea,2020-03-01T23:43:03,3736,17,30,36.0000,128.0000,03-01-2020.csv,03-01-2020
,Italy,2020-03-01T23:23:02,1694,34,83,43.0000,12.0000,03-01-2020.csv,03-01-2020
Guangdong,Mainland China,2020-03-01T14:13:18,1349,7,1016,23.3417,113.4244,03-01-2020.csv,03-01-2020
Henan,Mainland China,2020-03-01T14:13:18,1272,22,1198,33.8820,113.6140,03-01-2020.csv,03-01-2020
Zhejiang,Mainland China,2020-03-01T10:13:33,1205,1,1046,29.1832,120.0934,03-01-2020.csv,03-01-2020
Hunan,Mainland China,2020-03-01T10:03:03,1018,4,866,27.6104,111.7088,03-01-2020.csv,03-01-2020
Anhui,Mainland China,2020-03-01T10:03:03,990,6,873,31.8257,117.2264,03-01-2020.csv,03-01-2020
,Iran,2020-03-01T15:33:03,978,54,175,32.0000,53.0000,03-01-2020.csv,03-01-2020
Jiangxi,Mainland China,2020-03-01T01:13:10,935,1,831,27.6140,115.7221,03-01-2020.csv,03-01-2020
Shandong,Mainland China,2020-03-01T11:33:03,758,6,443,36.3427,118.1498,03-01-2020.csv,03-01-2020
Diamond Princess cruise ship,Others,2020-02-29T01:43:02,705,6,10,35.4437,139.6380,03-01-2020.csv,03-01-2020
Jiangsu,Mainland China,2020-03-01T10:03:03,631,0,536,32.9711,119.4550,03-01-2020.csv,03-01-2020
Chongqing,Mainland China,2020-03-01T23:13:08,576,6,450,30.0572,107.8740,03-01-2020.csv,03-01-2020
Sichuan,Mainland China,2020-03-01T11:43:02,538,3,365,30.6171,102.7103,03-01-2020.csv,03-01-2020
Heilongjiang,Mainland China,2020-03-01T11:33:03,480,13,342,47.8620,127.7615,03-01-2020.csv,03-01-2020
Beijing,Mainland China,2020-03-01T02:53:03,413,8,276,40.1824,116.4142,03-01-2020.csv,03-01-2020
Shanghai,Mainland China,2020-03-01T07:13:07,337,3,290,31.2020,121.4491,03-01-2020.csv,03-01-2020
Hebei,Mainland China,2020-03-01T14:13:18,318,6,294,38.0428,114.5149,03-01-2020.csv,03-01-2020
Fujian,Mainland China,2020-03-01T09:43:03,296,1,247,26.0789,117.9874,03-01-2020.csv,03-01-2020
,Japan,2020-03-01T23:33:03,256,6,32,36.0000,138.0000,03-01-2020.csv,03-01-2020
Guangxi,Mainland China,2020-03-01T09:43:03,252,2,181,23.8298,108.7881,03-01-2020.csv,03-01-2020
Shaanxi,Mainland China,2020-03-01T09:43:03,245,1,208,35.1917,108.8701,03-01-2020.csv,03-01-2020
Yunnan,Mainland China,2020-03-01T07:13:07,174,2,163,24.9740,101.4870,03-01-2020.csv,03-01-2020
Hainan,Mainland China,2020-03-01T10:13:38,168,5,149,19.1959,109.7453,03-01-2020.csv,03-01-2020
Guizhou,Mainland China,2020-02-27T00:43:02,146,2,112,26.8154,106.8748,03-01-2020.csv,03-01-2020
Tianjin,Mainland China,2020-03-01T12:43:02,136,3,111,39.3054,117.3230,03-01-2020.csv,03-01-2020
Shanxi,Mainland China,2020-03-01T23:13:08,133,0,116,37.5777,112.2922,03-01-2020.csv,03-01-2020
,France,2020-03-01T20:43:02,130,2,12,47.0000,2.0000,03-01-2020.csv,03-01-2020
,Germany,2020-03-01T23:23:02,130,0,16,51.0000,9.0000,03-01-2020.csv,03-01-2020
Liaoning,Mainland China,2020-03-01T12:23:06,122,1,103,41.2956,122.6085,03-01-2020.csv,03-01-2020
,Singapore,2020-03-01T23:23:02,106,0,72,1.2833,103.8333,03-01-2020.csv,03-01-2020
Hong Kong,Hong Kong,2020-03-01T14:33:16,96,2,36,22.3000,114.2000,03-01-2020.csv,03-01-2020
Jilin,Mainland China,2020-03-01T09:43:03,93,1,78,43.6661,126.1923,03-01-2020.csv,03-01-2020
Gansu,Mainland China,2020-03-01T14:33:17,91,2,84,36.0611,103.8343,03-01-2020.csv,03-01-2020
,Spain,2020-03-01T23:33:03,84,0,2,40.0000,-4.0000,03-01-2020.csv,03-01-2020
Xinjiang,Mainland China,2020-03-01T10:03:03,76,3,64,41.1129,85.2401,03-01-2020.csv,03-01-2020
Inner Mongolia,Mainland China,2020-03-01T10:03:03,75,0,52,44.0935,113.9448,03-01-2020.csv,03-01-2020
Ningxia,Mainland China,2020-02-29T05:53:02,73,0,69,37.2692,106.1655,03-01-2020.csv,03-01-2020
,Bahrain,2020-03-01T23:33:03,47,0,0,26.0275,50.5500,03-01-2020.csv,03-01-2020
,Kuwait,2020-02-28T16:23:03,45,0,0,29.5000,47.7500,03-01-2020.csv,03-01-2020
Unassigned Location (From Diamond Princess),US,2020-02-28T20:03:03,44,0,0,35.4437,139.6380,03-01-2020.csv,03-01-2020
,Thailand,2020-03-01T07:13:07,42,1,28,15.0000,101.0000,03-01-2020.csv,03-01-2020
Taiwan,Taiwan,2020-03-01T07:43:01,40,1,9,23.7000,121.0000,03-01-2020.csv,03-01-2020
,UK,2020-03-01T23:23:02,36,0,8,55.0000,-3.0000,03-01-2020.csv,03-01-2020
,Malaysia,2020-03-01T12:53:02,29,0,18,2.5000,112.5000,03-01-2020.csv,03-01-2020
,Switzerland,2020-03-01T23:23:02,27,0,0,46.8182,8.2275,03-01-2020.csv,03-01-2020
,United Arab Emirates,2020-02-29T12:33:03,21,0,5,24.0000,54.0000,03-01-2020.csv,03-01-2020
,Iraq,2020-03-01T16:43:02,19,0,0,33.0000,44.0000,03-01-2020.csv,03-01-2020
,Norway,2020-03-01T20:43:02,19,0,0,60.4720,8.4689,03-01-2020.csv,03-01-2020
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18,35.7452,95.9956,03-01-2020.csv,03-01-2020
,Vietnam,2020-02-25T08:53:02,16,0,16,16.0000,108.0000,03-01-2020.csv,03-01-2020
,Austria,2020-03-01T23:33:03,14,0,0,47.5162,14.5501,03-01-2020.csv,03-01-2020
"Toronto, ON",Canada,2020-03-01T23:33:03,14,0,2,43.6532,-79.3832,03-01-2020.csv,03-01-2020
,Sweden,2020-03-01T23:23:02,14,0,0,63.0000,16.0000,03-01-2020.csv,03-01-2020
,Israel,2020-03-01T23:23:02,10,0,1,31.0000,35.0000,03-01-2020.csv,03-01-2020
,Lebanon,2020-03-01T15:33:03,10,0,0,33.8547,35.8623,03-01-2020.csv,03-01-2020
Macau,Macau,2020-02-27T12:43:02,10,0,8,22.1667,113.5500,03-01-2020.csv,03-01-2020
,Netherlands,2020-03-01T15:33:03,10,0,0,52.1326,5.2913,03-01-2020.csv,03-01-2020
Queensland,Australia,2020-02-29T02:03:10,9,0,1,-28.0167,153.4000,03-01-2020.csv,03-01-2020
"Seattle, WA",US,2020-03-01T21:13:12,9,1,1,47.6062,-122.3321,03-01-2020.csv,03-01-2020
British Columbia,Canada,2020-02-29T23:23:13,8,0,3,49.2827,-123.1207,03-01-2020.csv,03-01-2020
Victoria,Australia,2020-02-29T02:03:10,7,0,4,-37.8136,144.9631,03-01-2020.csv,03-01-2020
,Croatia,2020-03-01T23:33:03,7,0,0,45.1000,15.2000,03-01-2020.csv,03-01-2020
,Greece,2020-03-01T23:23:02,7,0,0,39.0742,21.8243,03-01-2020.csv,03-01-2020
New South Wales,Australia,2020-03-01T23:33:03,6,0,4,-33.8688,151.2093,03-01-2020.csv,03-01-2020
,Ecuador,2020-03-01T23:33:03,6,0,0,-1.8312,-78.1834,03-01-2020.csv,03-01-2020
