"Province/State","Country/Region","Last Update","Confirmed","Deaths","Recovered","Latitude","Longitude","CSV File Name"
"Hubei","China","2020-03-11T10:53:02","67773","3046","49134","30.9756","112.2707","03-11-2020.csv"
"","Italy","2020-03-11T21:33:02","12462","827","1045","43.0000","12.0000","03-11-2020.csv"
"","Iran","2020-03-11T18:52:03","9000","354","2959","32.0000","53.0000","03-11-2020.csv"
"","Korea, South","2020-03-11T21:13:18","7755","60","288","36.0000","128.0000","03-11-2020.csv"
"France","France","2020-03-11T22:53:03","2281","48","12","46.2276","2.2137","03-11-2020.csv"
"","Spain","2020-03-11T20:53:02","2277","54","183","40.0000","-4.0000","03-11-2020.csv"
"","Germany","2020-03-11T19:13:17","1908","3","25","51.0000","9.0000","03-11-2020.csv"
"Guangdong","China","2020-03-11T10:13:06","1356","8","1282","23.3417","113.4244","03-11-2020.csv"
"Henan","China","2020-03-11T08:13:09","1273","22","1249","33.8820","113.6140","03-11-2020.csv"
"Zhejiang","China","2020-03-11T09:33:12","1215","1","1195","29.1832","120.0934","03-11-2020.csv"
"Hunan","China","2020-03-11T02:18:14","1018","4","995","27.6104","111.7088","03-11-2020.csv"
"Anhui","China","2020-03-11T02:18:14","990","6","984","31.8257","117.2264","03-11-2020.csv"
"Jiangxi","China","2020-03-11T02:18:14","935","1","932","27.6140","115.7221","03-11-2020.csv"
"Shandong","China","2020-03-11T11:33:07","760","6","726","36.3427","118.1498","03-11-2020.csv"
"Diamond Princess","Cruise Ship","2020-03-11T22:13:12","696","7","325","35.4437","139.6380","03-11-2020.csv"
"","Switzerland","2020-03-11T20:53:02","652","4","4","46.8182","8.2275","03-11-2020.csv"
"","Japan","2020-03-11T21:33:03","639","15","118","36.0000","138.0000","03-11-2020.csv"
"Jiangsu","China","2020-03-11T02:18:14","631","0","627","32.9711","119.4550","03-11-2020.csv"
"","Norway","2020-03-11T19:33:02","598","0","1","60.4720","8.4689","03-11-2020.csv"
"Chongqing","China","2020-03-11T23:13:05","576","6","554","30.0572","107.8740","03-11-2020.csv"
"Sichuan","China","2020-03-11T14:33:03","539","3","488","30.6171","102.7103","03-11-2020.csv"
"","Netherlands","2020-03-11T14:13:11","503","5","0","52.1326","5.2913","03-11-2020.csv"
"","Sweden","2020-03-11T19:33:02","500","1","1","63.0000","16.0000","03-11-2020.csv"
"Heilongjiang","China","2020-03-11T11:33:07","482","13","436","47.8620","127.7615","03-11-2020.csv"
"UK","United Kingdom","2020-03-11T21:33:03","456","8","18","55.3781","-3.4360","03-11-2020.csv"
"Denmark","Denmark","2020-03-11T22:13:13","442","0","1","56.2639","9.5018","03-11-2020.csv"
