"old_county","old_province_state","old_counrty_region","County","Province_State","Country_Region","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","old_combined_key","combined_key","UID","In_DBT_Exceptions"
"","","Belize","","","Belize","17.1899","-88.4976","","","","","","Belize","Belize","0000000084",
"","","Myanmar","","","Burma","","","","","","","","Myanmar","Burma","0000000104",
"","Northwest Territories","Canada","","Northwest Territories","Canada","64.8255","-124.8457","","","","","","Northwest Territories, Canada","Northwest Territories, Canada","0084100000",
"","Yukon","Canada","","Yukon","Canada","64.2823","-135","","","","","","Yukon, Canada","Yukon, Canada","0000012412",
"","","CAR","","","Central African Republic","","","","","","","","CAR","Central African Republic","0000000140",
"","","Hong Kong","","Hong Kong SAR","China","","","","","","","","Hong Kong","Hong Kong SAR, China","0084100001",
"","","Macao","","Macao SAR","China","","","","","","","","Macao","Macao SAR, China","0084100002",
"","","Congo","","","Congo (Brazzaville)","","","","","","","","Congo","Congo (Brazzaville)","0000000178",
"","","DRC","","","Congo (Kinshasa)","","","","","","","","DRC","Congo (Kinshasa)","0000000180",
"","","Ivory Coast","","","Cote d'Ivoire","","","","","","","","Ivory Coast","Cote d'Ivoire","0000000384",
"","","Faeroe Islands","","Faroe Islands","Denmark","","","","","","","","Faeroe Islands","Faroe Islands, Denmark","0000000234",
"","","Greenland","","Greenland","Denmark","","","","","","","","Greenland","Greenland, Denmark","0000000304",
"","","French Guiana","","French Guiana","France","","","","","","","","French Guiana","French Guiana, France","0000000254",
"","","French Polynesia","","French Polynesia","France","-17.6797","-149.4068","","","","","","French Polynesia","French Polynesia, France","0000000258",
"","","Guadeloupe","","Guadeloupe","France","","","","","","","","Guadeloupe","Guadeloupe, France","0000000312",
"","","Martinique","","Martinique","France","","","","","","","","Martinique","Martinique, France","0000000474",
"","","Mayotte","","Mayotte","France","","","","","","","","Mayotte","Mayotte, France","0000000175",
"","","New Caledonia","","New Caledonia","France","","","","","","","","New Caledonia","New Caledonia, France","0000000540",
"","","Réunion","","Reunion","France","","","","","","","","Réunion","Reunion, France","0000000638",
"","","St. Barth","","Saint Barthelemy","France","","","","","","","","St. Barth","Saint Barthelemy, France","0000000652",
"","","Saint Pierre Miquelon","","Saint Pierre and Miquelon","France","46.8852","-56.3159","","","","","","Saint Pierre Miquelon","Saint Pierre and Miquelon, France","0000000666",
"","","Saint Martin","","St Martin","France","","","","","","","","Saint Martin","St Martin, France","0000000663",
"","","France","","","France","46.2276","2.2137","155860","","","","","France","France","0000000250",
"","","Vatican City","","","Holy See","","","","","","","","Vatican City","Holy See","0000000336",
"","","S. Korea","","","Korea, South","","","","","","","","S. Korea","Korea, South","0000000410",
"","","Mauritania","","","Mauritania","21.0079","-10.9408","","","","","","Mauritania","Mauritania","0000000478",
"","","MS Zaandam","","","MS Zaandam","0","0","","","","","","MS Zaandam","MS Zaandam","0000008888",
"","","Aruba","","Aruba","Netherlands","","","","","","","","Aruba","Aruba, Netherlands","0000000533",
"","","Caribbean Netherlands","","Bonaire, Sint Eustatius and Saba","Netherlands","12.1784","-68.2385","","","","","","Caribbean Netherlands","Bonaire, Sint Eustatius and Saba, Netherlands","0000000535",
"","","Curaçao","","Curacao","Netherlands","","","","","","","","Curaçao","Curacao, Netherlands","0000000531",
"","","Sint Maarten","","Sint Maarten","Netherlands","","","","","","","","Sint Maarten","Sint Maarten, Netherlands","0000000534",
"","","St. Vincent Grenadines","","","Saint Vincent and the Grenadines","","","","","","","","St. Vincent Grenadines","Saint Vincent and the Grenadines","0000000670",
"","","Taiwan","","","Taiwan*","","","","","","","","Taiwan","Taiwan*","0000000158",
"","","UAE","","","United Arab Emirates","","","","","","","","UAE","United Arab Emirates","0000000784",
"","","Anguilla","","Anguilla","United Kingdom","18.2206","-63.0686","","","","","","Anguilla","Anguilla, United Kingdom","0000000660",
"","","Bermuda","","Bermuda","United Kingdom","","","","","","","","Bermuda","Bermuda, United Kingdom","0000000060",
"","","British Virgin Islands","","British Virgin Islands","United Kingdom","18.4207","-64.64","","","","","","British Virgin Islands","British Virgin Islands, United Kingdom","0000000092",
"","","Cayman Islands","","Cayman Islands","United Kingdom","","","","","","","","Cayman Islands","Cayman Islands, United Kingdom","0000000136",
"","","Channel Islands","","Channel Islands","United Kingdom","","","","","","","","Channel Islands","Channel Islands, United Kingdom","0000008261",
"","","Falkland Islands","","Falkland Islands (Malvinas)","United Kingdom","-51.7963","-59.5236","","","","","","Falkland Islands","Falkland Islands (Malvinas), United Kingdom","0000000238",
"","","Gibraltar","","Gibraltar","United Kingdom","","","","","","","","Gibraltar","Gibraltar, United Kingdom","0000000292",
"","","Isle of Man","","Isle of Man","United Kingdom","","","","","","","","Isle of Man","Isle of Man, United Kingdom","0000000833",
"","","Montserrat","","Montserrat","United Kingdom","","","","","","","","Montserrat","Montserrat, United Kingdom","0000000500",
"","","Turks and Caicos","","Turks and Caicos Islands","United Kingdom","21.694","-71.7979","","","","","","Turks and Caicos","Turks and Caicos Islands, United Kingdom","0000000796",
"","","UK","","","United Kingdom","","","","","","","","UK","United Kingdom","0000000826",
"Eagle River","Alaska","US","Anchorage","Alaska","US","61.14998174","-149.1426986","","","","","2020","Eagle River, Alaska, US","Anchorage, Alaska, US","0084002020",
"Gridwood","Alaska","US","Anchorage","Alaska","US","61.14998174","-149.1426986","","","","","2020","Gridwood, Alaska, US","Anchorage, Alaska, US","0084002020",
"Anchorage--Eagle River","Alaska","US","Anchorage","Alaska","US","61.14998174","-149.1426986","","","","","2020","Anchorage--Eagle River, Alaska, US","Anchorage, Alaska, US","0084002020",
"Anchorage--Gridwood","Alaska","US","Anchorage","Alaska","US","61.14998174","-149.1426986","","","","","2020","Anchorage--Gridwood, Alaska, US","Anchorage, Alaska, US","0084002020",
"Sterling","Alaska","US","Kenai Peninsula","Alaska","US","60.24429722","-151.5388884","","","","","2122","Sterling, Alaska, US","Kenai Peninsula, Alaska, US","0084002122",
"Soldotna","Alaska","US","Kenai Peninsula","Alaska","US","60.24429722","-151.5388884","","","","","2122","Soldotna, Alaska, US","Kenai Peninsula, Alaska, US","0084002122",
"Seward","Alaska","US","Kenai Peninsula","Alaska","US","60.24429722","-151.5388884","","","","","2122","Seward, Alaska, US","Kenai Peninsula, Alaska, US","0084002122",
"Homer","Alaska","US","Kenai Peninsula","Alaska","US","60.24429722","-151.5388884","","","","","2122","Homer, Alaska, US","Kenai Peninsula, Alaska, US","0084002122",
"Kenai","Alaska","US","Kenai Peninsula","Alaska","US","60.24429722","-151.5388884","","","","","2122","Kenai, Alaska, US","Kenai Peninsula, Alaska, US","0084002122",
"Kenai Peninsula--Homer","Alaska","US","Kenai Peninsula","Alaska","US","60.24429722","-151.5388884","","","","","2122","Kenai Peninsula--Homer, Alaska, US","Kenai Peninsula, Alaska, US","0084002122",
"Kenai Peninsula--Soldotna","Alaska","US","Kenai Peninsula","Alaska","US","60.24429722","-151.5388884","","","","","2122","Kenai Peninsula--Soldotna, Alaska, US","Kenai Peninsula, Alaska, US","0084002122",
"Kenai Peninsula--Sterling","Alaska","US","Kenai Peninsula","Alaska","US","60.24429722","-151.5388884","","","","","2122","Kenai Peninsula--Sterling, Alaska, US","Kenai Peninsula, Alaska, US","0084002122",
"Kenai Peninsula--Seward","Alaska","US","Kenai Peninsula","Alaska","US","60.24429722","-151.5388884","","","","","2122","Kenai Peninsula--Seward, Alaska, US","Kenai Peninsula, Alaska, US","0084002122",
"Palmer","Alaska","US","Matanuska-Susitna","Alaska","US","62.31305045","-149.5741743","","","","","2170","Palmer, Alaska, US","Matanuska-Susitna, Alaska, US","0084002170",
"Wasilla","Alaska","US","Matanuska-Susitna","Alaska","US","62.31305045","-149.5741743","","","","","2170","Wasilla, Alaska, US","Matanuska-Susitna, Alaska, US","0084002170",
"Matanuska-Susitna--Wasilla","Alaska","US","Matanuska-Susitna","Alaska","US","62.31305045","-149.5741743","","","","","2170","Matanuska-Susitna--Wasilla, Alaska, US","Matanuska-Susitna, Alaska, US","0084002170",
"Out of state","Colorado","US","Out of CO","Colorado","US","","","","","","","80008","Out of state, Colorado, US","Out of CO, Colorado, US","0084080008",
"Philips","Colorado","US","Phillips","Colorado","US","40.59414277","-102.3577703","","","","","8095","Philips, Colorado, US","Phillips, Colorado, US","0084008095",
"District of Columbia","Washington, D.C.","US","District of Columbia","District of Columbia","US","38.90417773","-77.01655992","","","","","11001","District of Columbia, Washington, D.C., US","District of Columbia, District of Columbia, US","0084100003",
"Desoto","Florida","US","DeSoto","Florida","US","27.18677893","-81.80941373","","","","","12027","Desoto, Florida, US","DeSoto, Florida, US","0084012027",
"Unknown","Florida","US","Unassigned","Florida","US","","","","","","","90012","Unknown, Florida, US","Unassigned, Florida, US","0084090012",
"Dekalb","Georgia","US","DeKalb","Georgia","US","33.76944049","-84.22396017","","","","","13089","Dekalb, Georgia, US","DeKalb, Georgia, US","0084013089",
"Mcduffie","Georgia","US","McDuffie","Georgia","US","33.47851918","-82.48252774","","","","","13189","Mcduffie, Georgia, US","McDuffie, Georgia, US","0084013189",
"Mcintosh","Georgia","US","McIntosh","Georgia","US","31.49683595","-81.40163426","","","","","13191","Mcintosh, Georgia, US","McIntosh, Georgia, US","0084013191",
"Non-Georgia Resident","Georgia","US","Out of GA","Georgia","US","","","","","","","80013","Non-Georgia Resident, Georgia, US","Out of GA, Georgia, US","0084080013",
"Unknown","Georgia","US","Unassigned","Georgia","US","","","","","","","90013","Unknown, Georgia, US","Unassigned, Georgia, US","0084090013",
"","","Guam","","Guam","US","13.4443","144.7937","","","","","66","Guam","Guam, US","0000000316",
"Hawaii Island","Hawaii","US","Hawaii","Hawaii","US","19.60121157","-155.5210167","","","","","15001","Hawaii Island, Hawaii, US","Hawaii, Hawaii, US","0084015001",
"Residents diagnosed Outside of HI","Hawaii","US","Out of HI","Hawaii","US","","","","","","","80015","Residents diagnosed Outside of HI, Hawaii, US","Out of HI, Hawaii, US","0084080015",
