Location Name Key,Date Reported,Attribute,Cumulative Value,Change Since Prior Day,Latitude,Longitude,Country or Region,Province or State,CSV File Name,USA State County,FIPS USA State County code,Last Updated UTC,File Number,Row Number
"Unassigned, AK, USA",03-27-2020,Active,-1,,0.0,0.0,USA,AK,03-27-2020.csv,Unassigned,,2020-03-27T22:14:55Z,65,2855
"Unassigned, AL, USA",03-31-2020,Confirmed,0,,0.0,0.0,USA,AL,03-31-2020.csv,Unassigned,,2020-03-31T23:43:56Z,91,1926
"Unassigned, AR, USA",03-27-2020,Recovered,0,,0.0,0.0,USA,AR,03-27-2020.csv,Unassigned,,2020-03-27T22:14:55Z,65,2857
"Unassigned, AZ, USA",03-26-2020,Confirmed,0,,0.0,0.0,USA,AZ,03-26-2020.csv,Unassigned,,2020-03-26T23:48:35Z,64,2856
"Unassigned, CA, USA",03-24-2020,Active,4,,0.0,0.0,USA,CA,03-24-2020.csv,Unassigned,,2020-03-24T23:37:31Z,62,2876
"Unassigned, CO, USA",03-28-2020,Deaths,1,,0.0,0.0,USA,CO,03-28-2020.csv,Unassigned,,2020-03-28T23:05:37Z,66,2858
"Unassigned, CT, USA",03-31-2020,Recovered,0,,0.0,0.0,USA,CT,03-31-2020.csv,Unassigned,,2020-03-31T23:43:56Z,91,1932
"Unassigned, DE, USA",03-27-2020,Active,-1,,0.0,0.0,USA,DE,03-27-2020.csv,Unassigned,,2020-03-27T22:14:55Z,65,2860
"Unassigned, FL, USA",03-22-2020,Active,1,,0,0,USA,FL,03-22-2020.csv,Unassigned,,2020-03-22T23:45:00Z,60,243
"Unassigned, GA, USA",03-26-2020,Active,134,,0.0,0.0,USA,GA,03-26-2020.csv,Unassigned,,2020-03-26T23:48:35Z,64,2859
"Unassigned, HI, USA",03-27-2020,Recovered,0,,0.0,0.0,USA,HI,03-27-2020.csv,Unassigned,,2020-03-27T22:14:55Z,65,2862
"Unassigned, IA, USA",03-31-2020,Active,1,,0.0,0.0,USA,IA,03-31-2020.csv,Unassigned,,2020-03-31T23:43:56Z,91,1938
