Location Name Key,Latitude,Longitude,CSV File Name,Row Number
"Abbeville, SC, USA",34.22333378,-82.46170658,03-26-2020.csv,0
"Acadia, LA, USA",30.295064899999996,-92.41419698,03-24-2020.csv,1
"Accomack, VA, USA",37.76707161,-75.63234615,03-27-2020.csv,2
"Ada, ID, USA",43.4526575,-116.24155159999998,03-25-2020.csv,3
"Adair, IA, USA",41.33075609,-94.47105874,03-27-2020.csv,4
"Adair, KY, USA",37.10459774,-85.28129668,03-23-2020.csv,5
"Adair, MO, USA",40.19058551,-92.60078167,03-23-2020.csv,6
"Adair, OK, USA",35.88494195,-94.65859267,03-23-2020.csv,7
"Adams, CO, USA",39.87432092,-104.3362578,03-27-2020.csv,8
"Adams, IA, USA",41.02903567,-94.69932645,03-23-2020.csv,12
"Adams, ID, USA",44.89333571,-116.4545247,03-30-2020.csv,9
"Adams, IL, USA",39.98815591,-91.18786813,03-26-2020.csv,10
"Adams, IN, USA",40.7457653,-84.93671406,03-28-2020.csv,11
"Adams, MS, USA",31.47669768,-91.35326037,03-23-2020.csv,13
"Adams, ND, USA",46.09686891,-102.5285397,03-22-2020.csv,2413
"Adams, NE, USA",40.52449420000001,-98.50117804,03-27-2020.csv,14
"Adams, OH, USA",38.84541072,-83.4718964,03-22-2020.csv,2460
"Adams, PA, USA",39.87140411,-77.21610347,03-27-2020.csv,17
"Adams, WA, USA",46.98299757,-118.56017340000001,03-27-2020.csv,18
"Adams, WI, USA",43.96974651,-89.76782777,03-26-2020.csv,19
"Addison, VT, USA",44.03217337,-73.14130877,03-26-2020.csv,20
Afghanistan,33.93911,67.709953,03-27-2020.csv,3257
"Aiken, SC, USA",33.54338026,-81.63645384,03-29-2020.csv,21
"Aitkin, MN, USA",46.60962049,-93.41168259999999,03-29-2020.csv,22
"AK, USA",61.3707,-152.4044,03-12-2020.csv,213
"AL, USA",32.3182,-86.9023,03-15-2020.csv,156
"Alachua, FL, USA",29.67866525,-82.35928158,03-30-2020.csv,23
"Alamance, NC, USA",36.0434701,-79.39976137,03-23-2020.csv,24
"Alameda, CA, USA",37.64629437,-121.8929271,03-25-2020.csv,25
"Alamosa, CO, USA",37.57250606,-105.7885451,03-25-2020.csv,26
Albania,41.1533,20.1683,03-21-2020.csv,146
"Albany, NY, USA",42.60060306,-73.97723916,03-30-2020.csv,27
"Albany, WY, USA",41.65498705,-105.72354150000001,03-27-2020.csv,28
"Albemarle, VA, USA",38.02080697,-78.55481085,03-25-2020.csv,29
"Alberta, Canada",53.9333,-116.5765,03-16-2020.csv,101
"Alcona, MI, USA",44.6846864,-83.59507875,03-24-2020.csv,30
"Alcorn, MS, USA",34.88084463,-88.57996173,03-29-2020.csv,31
"Aleutians East, AK, USA",55.32222414,-161.9722021,03-28-2020.csv,32
"Aleutians West, AK, USA",52.72541116,-110.4086433,03-28-2020.csv,33
"Alexander, IL, USA",37.18049267,-89.32910838,03-28-2020.csv,34
"Alexander, NC, USA",35.922379600000006,-81.17751948,03-26-2020.csv,35
"Alexandria, VA, USA",38.814003,-77.08183073,03-27-2020.csv,36
"Alfalfa, OK, USA",36.73090616,-98.32408495,03-24-2020.csv,37
"Alger, MI, USA",46.41292944,-86.60260122,03-26-2020.csv,38
Algeria,28.0339,1.6596,03-25-2020.csv,3253
"Allamakee, IA, USA",43.28383218,-91.37860922,03-30-2020.csv,39
"Allegan, MI, USA",42.59147037,-85.89102866,03-22-2020.csv,194
"Allegany, MD, USA",39.62357628,-78.69280486,03-24-2020.csv,41
"Allegany, NY, USA",42.25748406,-78.02750466,03-28-2020.csv,42
"Alleghany, NC, USA",36.49360862,-81.12857041,03-26-2020.csv,43
"Alleghany, VA, USA",37.78636074,-80.00222498,03-30-2020.csv,44
"Allegheny, PA, USA",40.46809875,-79.98167747,03-23-2020.csv,45
"Allen, IN, USA",41.09194313,-85.06800636,03-23-2020.csv,46
"Allen, KS, USA",37.88582951,-95.30030847,03-28-2020.csv,47
"Allen, KY, USA",36.75197631,-86.19457544,03-23-2020.csv,48
"Allen, LA, USA",30.65385745,-92.82442028,03-28-2020.csv,49
"Allen, OH, USA",40.77285242,-84.10802343,03-30-2020.csv,50
"Allendale, SC, USA",32.98837386,-81.35321066,03-29-2020.csv,51
"Alpena, MI, USA",45.03477666,-83.62212411,03-26-2020.csv,52
"Alpine, CA, USA",38.59678594,-119.82235940000001,03-24-2020.csv,53
"Amador, CA, USA",38.44583082,-120.65696000000001,03-25-2020.csv,54
"Amelia, VA, USA",37.34081025,-77.98584649,03-29-2020.csv,55
"Amherst, VA, USA",37.60308293,-79.14548696,03-24-2020.csv,56
"Amite, MS, USA",31.17467303,-90.80501621,03-24-2020.csv,57
"Anchorage, AK, USA",61.14998174,-149.14269860000005,03-27-2020.csv,58
"Anderson, KS, USA",38.21413251,-95.29272815,03-22-2020.csv,1697
"Anderson, KY, USA",38.00671029,-84.99171713,03-29-2020.csv,60
"Anderson, SC, USA",34.51828081,-82.63959517,03-25-2020.csv,61
"Anderson, TN, USA",36.12684348,-84.19965764,03-27-2020.csv,62
"Anderson, TX, USA",31.81534745,-95.65354823,03-30-2020.csv,63
Andorra,42.5063,1.5218,03-23-2020.csv,3256
"Andrew, MO, USA",39.98492163,-94.80163024,03-23-2020.csv,64
"Andrews, TX, USA",32.30468633,-102.63765479999999,03-29-2020.csv,65
"Androscoggin, ME, USA",44.1664747,-70.20380627,03-23-2020.csv,66
"Angelina, TX, USA",31.25457347,-94.60901487,03-30-2020.csv,67
Angola,-11.2027,17.8739,03-27-2020.csv,3261
"Anguilla, United Kingdom",18.2206,-63.0686,03-29-2020.csv,3176
"Anhui, China",31.8257,117.2264,03-09-2020.csv,11
"Anne Arundel, MD, USA",39.00670238,-76.60329337,03-27-2020.csv,68
"Anoka, MN, USA",45.27476015,-93.24604565,03-26-2020.csv,69
"Anson, NC, USA",34.97403241,-80.09953279,03-23-2020.csv,70
"Antelope, NE, USA",42.17695516,-98.06662829999999,03-29-2020.csv,71
Antigua and Barbuda,17.0608,-61.7964,03-16-2020.csv,232
"Antrim, MI, USA",44.99690221,-85.15503082,03-26-2020.csv,72
"Apache, AZ, USA",35.39465006,-109.4892383,03-27-2020.csv,73
"Appanoose, IA, USA",40.74324454,-92.86865906,03-22-2020.csv,1622
"Appling, GA, USA",31.74847232,-82.28909114,03-29-2020.csv,75
"Appomattox, VA, USA",37.37569884,-78.81340003,03-22-2020.csv,2967
"AR, USA",34.9697,-92.3731,03-12-2020.csv,149
"Aransas, TX, USA",28.10556197,-96.9995047,03-28-2020.csv,77
"Arapahoe, CO, USA",39.64977461,-104.3353617,03-28-2020.csv,78
"Archer, TX, USA",33.61569967,-98.68754589,03-28-2020.csv,79
"Archuleta, CO, USA",37.19474156,-107.04768670000001,03-26-2020.csv,80
"Arenac, MI, USA",44.0636262,-83.89277559,03-26-2020.csv,81
Argentina,-38.4161,-63.6167,03-06-2020.csv,116
"Arkansas, AR, USA",34.29145151,-91.37277296,03-22-2020.csv,1236
"Arlington, VA, USA",38.8767675,-77.10139853,03-24-2020.csv,83
Armenia,40.0691,45.0382,03-20-2020.csv,102
"Armstrong, PA, USA",40.81665618,-79.46290811,03-23-2020.csv,84
