Location Name Key,Date Reported,Attribute,Cumulative Value,Change Since Prior Day,Latitude,Longitude,Country or Region,Province or State,CSV File Name,USA State County,FIPS USA State County code,Last Updated UTC,File Number,Row Number
" Montreal, QC, Canada",03-05-2020,Active,2,,45.5017,-73.5673,Canada,QC,03-05-2020.csv,Montreal,,2020-03-05T14:03:04Z,43,107
" Norfolk, MA, USA",03-03-2020,Confirmed,1,,42.1767,-71.1449,USA,MA,03-03-2020.csv,Norfolk,,2020-03-03T14:33:03Z,41,129
"Abbeville, SC, USA",03-23-2020,Deaths,0,,34.22333378,-82.46170658,USA,SC,03-23-2020.csv,Abbeville,45001,2020-03-23T23:19:34Z,61,0
"Acadia, LA, USA",03-26-2020,Deaths,0,,30.295064899999996,-92.41419698,USA,LA,03-26-2020.csv,Acadia,22001,2020-03-26T23:48:35Z,64,1
"Accomack, VA, USA",03-29-2020,Active,3,,37.76707161,-75.63234615,USA,VA,03-29-2020.csv,Accomack,51001,2020-03-29T23:08:25Z,67,2
"Ada, ID, USA",03-24-2020,Deaths,0,,43.4526575,-116.24155159999998,USA,ID,03-24-2020.csv,Ada,16001,2020-03-24T23:37:31Z,62,3
"Adair, IA, USA",03-24-2020,Confirmed,1,,41.33075609,-94.47105874,USA,IA,03-24-2020.csv,Adair,19001,2020-03-24T23:37:31Z,62,4
"Adair, KY, USA",03-28-2020,Recovered,0,,37.10459774,-85.28129668,USA,KY,03-28-2020.csv,Adair,21001,2020-03-28T23:05:37Z,66,5
"Adair, MO, USA",03-28-2020,Active,1,,40.19058551,-92.60078167,USA,MO,03-28-2020.csv,Adair,29001,2020-03-28T23:05:37Z,66,6
"Adair, OK, USA",03-25-2020,Confirmed,2,,35.88494195,-94.65859267,USA,OK,03-25-2020.csv,Adair,40001,2020-03-25T23:33:19Z,63,7
"Adams, CO, USA",03-22-2020,Deaths,0,,39.87432092,-104.3362578,USA,CO,03-22-2020.csv,Adams,8001,2020-03-22T23:45:00Z,60,429
"Adams, IA, USA",03-22-2020,Recovered,0,,41.02903567,-94.69932645,USA,IA,03-22-2020.csv,Adams,19003,2020-03-22T23:45:00Z,60,1621
"Adams, ID, USA",03-26-2020,Confirmed,0,,44.89333571,-116.4545247,USA,ID,03-26-2020.csv,Adams,16003,2020-03-26T23:48:35Z,64,9
"Adams, IL, USA",03-26-2020,Confirmed,1,,39.98815591,-91.18786813,USA,IL,03-26-2020.csv,Adams,17001,2020-03-26T23:48:35Z,64,10
"Adams, IN, USA",03-22-2020,Active,1,,40.7457653,-84.93671406,USA,IN,03-22-2020.csv,Adams,18001,2020-03-22T23:45:00Z,60,782
"Adams, MS, USA",03-29-2020,Confirmed,7,,31.47669768,-91.35326037,USA,MS,03-29-2020.csv,Adams,28001,2020-03-29T23:08:25Z,67,13
