Location Name Key,Latitude,Longitude,CSV File Name,Row Number
"Diamond Princess Japan, TX, Canada",0,0,03-22-2020.csv,3188
"Diamond Princess Japan, TX, Cruise Ship",0,0,03-22-2020.csv,3258
"Diamond Princess Japan, TX, USA",0,0,03-22-2020.csv,1099
"Grand Princess Oakland, CA, Canada",0,0,03-22-2020.csv,3184
"Grand Princess Oakland, CA, USA",0,0,03-22-2020.csv,1120
"Unassigned, AR, USA",0,0,03-22-2020.csv,873
"Unassigned, CA, USA",0,0,03-22-2020.csv,1159
"Unassigned, CO, USA",0,0,03-22-2020.csv,445
"Unassigned, FL, USA",0,0,03-22-2020.csv,243
"Unassigned, GA, USA",0,0,03-22-2020.csv,363
"Unassigned, IL, USA",0,0,03-22-2020.csv,153
"Unassigned, KY, USA",0,0,03-22-2020.csv,950
"Unassigned, LA, USA",0,0,03-22-2020.csv,249
"Unassigned, MA, USA",0,0,03-22-2020.csv,292
"Unassigned, ME, USA",0,0,03-22-2020.csv,1013
"Unassigned, MT, USA",0,0,03-22-2020.csv,1115
"Unassigned, NJ, USA",0,0,03-22-2020.csv,76
"Unassigned, NV, USA",0,0,03-22-2020.csv,834
"Unassigned, NY, USA",0,0,03-22-2020.csv,14
"Unassigned, RI, USA",0,0,03-22-2020.csv,1024
"Unassigned, WA, USA",0,0,03-22-2020.csv,47
